"All Websites","Alle Webseiten"
"Apply Discounts To FPT","Prozentuale Rabatte auf Verbrauchssteuern"
"Display Prices In Emails","Preise in E-Mails anzeigen"
"Display Prices In Product Lists","Preise in Produktlisten anzeigen"
"Display Prices In Sales Modules","Preise in Verkaufsmodulen anzeigen"
"Display Prices On Product View Page","Preise auf der Produktseite anzeigen"
"Enable FPT","FPT aktivieren"
"Excluding FPT","Exklusive FPT"
"Excluding FPT, FPT description, final price","zzgl. Verbrauchssteuern, Verbrauchssteuern Beschreibung, Endpreis"
"FPT Tax Configuration","FPT-Steuer Konfiguration"
"Fixed Product Tax","Feste Produktsteuer"
"Fixed Product Taxes","Feste Produktsteuern"
"Include FPT In Subtotal","FPT in der Zwischensumme einschließen"
"Including FPT and FPT description","Einschließlich FPT und FPT-Beschreibung"
"Including FPT and FPT description [incl. FPT VAT]","inkl. Verbrauchssteuern und Verbrauchssteuern Beschreibung (inkl. Verbrauchssteuern-Umsatzsteuer)"
"Including FPT only","Ausschließlich inklusive FPT"
"Loaded and Displayed with Tax","Geladen und mit Steuern angezeigt"
"Not Taxed","Nicht besteuert"
"Taxed","besteuert"
"Total","Gesamtsumme"
"Total Incl. Tax","Gesamt inkl. MwSt."
"Total excl. tax","Gesamt zzgl. Steuern"
"Total incl. tax","Gesamt inkl. Steuern"
"Total:","Gesamtsumme:"
