"Currency","Währung"
"Custom currency symbols were applied successfully.","Individuelle Währungszeichen wurden erfolgreich angewendet."
"Manage Currency","Währungen verwalten"
"Manage Currency Rates","Währungskurse verwalten"
"Rates","Kurse"
"Save Currency Symbols","Währungssymbole speichern"
"Symbol","Zeichen"
"Symbols","Währungszeichen"
"Use Standard","Standard verwenden"
