"Add","Hinzufügen"
"Add New Row","Neue Zeile einfügen"
"Add links and samples to downloadable product","Links und Beispiel zu Downloadartikel hinzufügen"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alphanumerisch, Bindestrich und Unterstrich-Zeichen für Dateinamen empfohlen. Unzulässige Zeichen werden mit '_' ersetzt."
"An error occurred while getting the requested content.","Fehler beim Anfordern des Inhalts aufgetreten."
"An error occurred while getting the requested content. Please contact the store owner.","Fehler beim Anfordern des Inhalts aufgetreten. Bitte den Shopbetreiber kontaktieren."
"An error occurred while saving the file(s).","Beim Speichern der Datei(en) trat ein Fehler auf."
"Availability:","Verfügbarkeit:"
"Back","Zurück"
"Canceled","Storniert"
"Cannot connect to remote host, error: %s.","Fehler beim Verbinden zu entferntem Server: %s."
"Catalog Product View (Downloadable)","Katalogartikelansicht (Downloadartikel)"
"Category API","Kategorien-API"
"Customer My Account Downloadable Items","Kunde - Mein Benutzerkonto - Downloadartikel"
"Date","Datum"
"Default Link Title","Standard-Linktitel"
"Default Maximum Number of Downloads","Standardmäßige maximale Anzahl von Downloads"
"Default Sample Title","Standard-Beispieltitel"
"Delete","Löschen"
"Disable Guest Checkout if Cart Contains Downloadable Items","Gastbestellung deaktivieren, wenn im Warenkorb Downloadprodukte sind"
"Downloadable Information","Downloadinformation"
"Downloadable Product","Downloadartikel"
"Downloadable Product Options","Optionen für Download-Produkte"
"Edit","Bearbeiten"
"Edit item parameters","Artikelparameter bearbeiten"
"Excl. Tax","Exkl. Steuern"
"File","Datei"
"From:","Von:"
"Gift Message","Geschenknachricht"
"Go to <a href=""%s"">My Downloadable Products</a>","Gehen Sie zu <a href=""%s"">Meine Downloadartikel</a>"
"Guest checkout will only work with shareable.","Unabhängig von dieser Funktion, ist die Gastbestellung bei teilbaren Downloadprodukten nicht möglich."
"In stock","Auf Lager"
"Incl. Tax","Inkl. MwSt."
"Invalid download URL host.","Ungültiger Download URL-Host."
"Invalid download URL scheme.","Ungültiges Download URL-Schema."
"Invalid download link type.","Ungültiger Download Link Typ."
"Invoiced","In Rechnung gestellt"
"Links can be purchased separately","Links können separat erworben werden"
"List","Liste"
"Message:","Nachricht:"
"Move","Verschieben"
"Move to wishlist","Auf den Wunschzettel verschieben"
"My Downloadable Products","Meine Produkte zum Herunterladen"
"Open Links in New Window","Links in neuem Fenster öffnen"
"Order #","Bestellung #"
"Order Item Status to Enable Downloads","Bestellstatus des Produkts, der Download ermöglicht"
"Order id cannot be null","Bestellnummer darf nicht null sein"
"Order item id cannot be null","Die ID des Bestellelements darf nicht 0 sein"
"Ordered","Bestellt"
"Out of stock","Nicht lieferbar"
"Pending","Ausstehend"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Bitte melden Sie sich an, um Ihre(n) Downloadartikel herunterzuladen oder kaufen Sie <a href=""%s"">%s</a>."
"Please log in to download your product.","Bitte melden Sie sich an, um Ihre(n) Downloadartikel herunterzuladen."
"Please set resource file and link type.","Bitte setzen Sie die Ressourcen-Datei und den Link-Typ."
"Please specify product link(s).","Bitte Produktlink(s) angeben."
"Price","Preis"
"Product downloadable links","Artikel herunterladbare Links"
"Qty","Menge"
"Refunded","Erstattet"
"Remaining Downloads","Verbleibenden Downloads"
"Remove","Entfernen"
"Remove Item","Artikel entfernen"
"Remove links and samples from downloadable product","Links und Beispiele entfernen"
"Requested link does not exist.","Angeforderter Link existiert nicht."
"Retrieve links and samples list from downloadable product","Links und Beispiele des Downloadartikels abfragen"
"SKU","Artikelnummer"
"Sample","Beispiel"
"See price before order confirmation.","Siehe Preis vor Auftragsbestätigung."
"Shareable","Teilbar"
"Shipped","Versandt"
"Sorry, there was an error getting requested content. Please contact the store owner.","Der angeforderte Inhalt konnte nicht geladen werden. Bitte wenden Siesich an den Shop-Betreiber."
"Sort Order","Sortierreihenfolge"
"Start Download","Download starten"
"Subtotal","Zwischensumme"
"The file does not exist.","Die Datei existiert nicht."
"The link has expired.","Gültigkeitsdauer des Links ist abgelaufen."
"The link is not available.","Der Link ist nicht verfügbar."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Es wurden Dateien zum Hochladen ausgewählt, jedoch noch nicht hochgeladen. Bitte laden Sie diese hoch oder entfernen Sie sie."
"Title","Titel"
"To:","Bis:"
"Unlimited","Unbegrenzt"
"Update","Aktualisieren"
"Use Content-Disposition","Bereitstellung der Inhalte"
"Use Default Value","Standardwert verwenden"
"View Order","Bestellung ansehen"
"What's this?","Was ist das?"
"You have not purchased any downloadable products yet.","Sie haben noch keine herunterladbaren Produkte gekauft."
"attachment","Anhang"
"download","herunterladen"
"inline","Inline"
"sample","Beispiel"
