"--Please Select--","-- Bitte wählen --"
"API Login ID","API-Login-ID"
"Accepted Currency","Akzeptierte Währung"
"Amount of %s approved by payment gateway. Transaction ID: ""%s"".","Zahlung über %s wurde vom Gateway bestätigt. Transaktionsnummer: ""%s""."
"Authorize.net Direct Post","Authorize.net Direktpost"
"Card Verification Number","Kartenprüfnummer"
"Card Verification Number Visual Reference","Kartenprüfnummer"
"Close","Schließen"
"Credit Card Information","Kreditkarten-Informationen"
"Credit Card Number","Kreditkartennummer"
"Credit Card Type","Kreditkartentyp"
"Credit Card Types","Kreditkartentypen"
"Credit Card Verification","Kreditkarten Verifizierung"
"Debug","Debuggen"
"Email Customer","Kunden Email"
"Enabled","Aktiviert"
"Expiration Date","Ablaufdatum"
"Gateway URL","Gateway-URL"
"Maximum Order Total","Maximalwert für Gesamtbestellung"
"Merchant MD5","Händler MD5"
"Merchant's Email","Händler Email"
"Minimum Order Total","Mindestwert für Gesamtbestellung"
"New Order Status","Neuer Bestellstatus"
"Order saving error: %s","Fehler beim Speichern der Bestellung: %s"
"Payment Action","Zahlungsvorgang"
"Payment authorization error.","Fehler beim Autorisieren der Zahlung."
"Payment authorization error. Transacion id is empty.","Fehler bei der Zahlungsbestätigung. Transaktionsnummer ist leer."
"Payment error. Order was not found.","Zahlungsfehler. Bestellung konnte nicht gefunden werden."
"Payment error. Paid amount doesn't match the order amount.","Zahlungsfehler. Gezahlter Betrag entspricht nicht dem Rechnungsbetrag."
"Payment from Applicable Countries","Zahlung aus erlaubten Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Please, choose payment method","Bitte wählen Sie eine Zahlungsart"
"Response hash validation failed. Transaction declined.","Überprüfung der Antwort fehlgeschlagen. Transaktion abgelehnt."
"Sort Order","Sortierreihenfolge"
"Test Mode","Test Modus"
"The order has been created.","Die Bestellung wurde erstellt."
"There was an error processing your order. Please contact us or try again later.","Bei der Verarbeitung Ihrer Bestellung ist ein Fehler aufgetreten. Kontaktieren Sie uns oder probieren Sie es bitte später erneut."
"Title","Titel"
"Transaction Key","Transaktionsschlüssel"
"What is this?","Was ist das?"
"You will be required to enter your payment details before you place an order.","Bevor Sie eine Bestellung aufgeben können, müssen Sie Ihre Zahlungsdaten angeben."
