"Free Shipping with Minimum Order Amount","Versandkostenfrei ab"
"Freight","Fracht"
"Freight worldwide","Freight Worldwide"
"Gateway URL","Gateway-URL"
"Gift","Geschenk"
"Girth","Umfang"
"Global Express Guaranteed Document","Global Express Guaranteed Dokument"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Nicht-Dokument Nicht-Rechteckig"
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Nicht-Dokument Rechteckig"
"Globalmail business","Globalmail Business"
"Ground","Erdgeschoss"
"Ground Commercial","Erdgeschoss Geschäftlich"
"Ground Residential","Erdgeschoss Privatanschrift"
"Handling Applied","Bearbeitung hinzugefügt"
"Handling Fee","Bearbeitungsgebühr"
"Height","Höhe"
"Height, width and length should be equal or greater than %s","Höhe, Breite und Länge sollten größergleich %s sein"
"Home Delivery","Hauszustellung"
"Hub ID","Hub-ID"
"Inches","Zoll"
"Indirect","Indirekt"
"International Economy","Internationale Economy"
"International Ground","Internationaler Grund"
"International Priority","International Priorität"
"International Shipment Days","International Versandtage"
"Intl Economy Freight","International Economy Freight"
"Intl Priority Freight","International Priorität Fracht"
"Jumbo box","Jumbo Box"
"Key","Schlüssel"
"Kilograms","Kilogramm"
"Large","Groß"
"Large Express Box","Große Express Box"
"Length","Länge"
"Letter","Brief"
"Machinable","Autom. Verarbeitbar"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximales Paketgewicht (Bitte konsultieren Sie Ihren Versandanbieter bzgl. des maximal unterstützten Versandgewichts)"
"Medical express","Medical Express"
"Medium Express Box","Mittlere Express Box"
"Merchandise","Ware"
"Meter Number","Zählernummer"
"Minimum Order Amount for Free Shipping","Mindestbestellwert für versandkostenfreie Lieferung"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Mindestpaketgewicht (Bitte konsultieren Sie Ihren Versandanbieter bzgl. des minimal unterstützten Versandgewichts)"
"Mode","Modus"
"National Freight","nationale Fracht"
"Next Afternoon","Nächsten Nachmittag"
"Next Day Air","Nächster Tag Luftpost"
"Next Day Air Early AM","Nächster Tag Luftpost früher Vormittag"
"Next Day Air Early AM Letter","Nächster Tag Luftpost früher Vormittag Briefsendung"
"Next Day Air Intra (Puerto Rico)","Nächster Tag Air Intra (Puerto Rico)"
"Next Day Air Letter","Nächster Tag Luftpost Briefsendung"
"Next Day Air Saver","Nächster Tag Luftpost Saver"
"Next Day Air Saver Letter","Nächster Tag Luftpost Saver Breifsendung"
"No","Nein"
"No packages for request","Keine Pakete für Anfrage"
"Non Documents","Non-Document"
"Non documents","Non-Document"
"Non-rectangular","Nicht-rechteckige"
"None","Keine"
"Not Required","Pakete Anfragetyp"
"Order","Bestellung"
"Order #%s","Bestellung #%s"
"Origin of the Shipment","Sendungsherkunft"
"Origin serviceAreaCode is missing","ServiceAreaCode des Ursprung fehlt"
"Other","Andere"
"Others","Sonstige"
"Package","Paket"
"Package Description","Paketbeschreibung"
"Package content is missing","Paketinhalt fehlt"
"Packages Request Type","Pakete-Anfragetyp"
"Packaging","Verpackung"
"Pallet","Palette"
"Parcel","Paket"
"Password","Passwort"
"Pickup Method","Abholmethode"
"Piece Id barcode is missing","Barcode eines Pakets fehlt"
"Piece number information is missing","Nummerninformation eines Pakets fehlt"
"Please make sure to use only digits here. No dashes are allowed.","Bitte achten Sie darauf, hier nur Ziffern zu verwenden. Bindstriche sind nicht erlaubt."
"Please, specify origin country","Bitte geben Sie das Ursprungsland an"
"Pounds","Gewichtseinheit"
"Priority Mail Express Flat Rate Boxes","Priority Mail Express Flat Rate Boxen"
"Priority Mail Express Flat Rate Boxes Hold For Pickup","Priority Mail Express Flat Rate Boxen Abholung"
"Priority Mail Express Flat Rate Envelope","Priority Mail Express Flat Rate Umschlag"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","Priority Mail Express Pauschale Umschlag zur Abholung halten"
"Priority Mail Express Hold For Pickup","Priority Mail Express zurückhalten für Abholung"
"Priority Mail Express International Flat Rate Boxes","Priority Mail Express International Flat Rate Boxen"
"Priority Mail Express International Flat Rate Envelope","Priority Mail Express International Flat Rate Umschlag"
"Priority Mail Express International Legal Flat Rate Envelope","Priority Mail Express International Legal Flat Rate Umschlag"
"Priority Mail Express International Padded Flat Rate Envelope","Priority Mail Express International Padded Flat Rate Umschlag"
"Priority Mail Express Legal Flat Rate Envelope","Priority Mail Express rechtlicher Pauschale Umschlag"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Priority Mail Express rechtlicher Pauschale Umschlag zur Abholung halten"
"Priority Mail Express Padded Flat Rate Envelope","Priority Mail Express Padded Flat Rate Umschlag"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Priority Mail Express Padded Flat Rate Umschlag Abholung"
