"Abandoned carts","Ufullstendige handler"
"Action","Handling"
"Add to Cart","Legg i handlekurv"
"Add to Compare","Legg til sammenligning"
"Add to Wishlist","Legg i ønskelisten"
"Any","Hvilket som helst"
"Applied Coupon","Rabattkode"
"Are you sure?","Er du sikker?"
"Bestsellers","Bestselgere"
"Bought from wishlists","Kjøpt fra ønskeliste"
"Carts","Handlekurver"
"Compared Products Grid Template","Sammenlignede produkter rutenett mal"
"Compared Products List Template","Sammenlignede produkter liste mal"
"Coupons","Rabattkoder"
"Created At","Opprettet"
"Customer","Kunde"
"Customer Name","Kundenavn"
"Customer Tags","Kundetagger"
"Customers","Kunder"
"Customers Report","Kunderapport"
"Customers Reviews","Kundeomtaler"
"Customers Tags","Kundetagger"
"Customers by Orders Total","Kunder etter ordretotal"
"Customers by number of orders","Kunder etter antall ordrer"
"Customers by orders total","Kunder etter ordretotal"
"Customers that have wishlist: %s%","Kunder som har ønskeliste: %s%"
"Dashboard","Kontrollpanel"
"Day","Dag"
"Description","Beskrivelse"
"Detail","Detaljer"
"Downloads","Nedlastinger"
"Email","E-post"
"Empty Rows","Tomme rader"
"First Name","Fornavn"
"From","Fra"
"General","Generelt"
"Guest","Gjest"
"Hits","Treff"
"ID","Id"
"IP Address","IP-adresse"
"Invoiced","Fakturert"
"Items in Cart","Varer i handlevognen"
"Last Name","Etternavn"
"Last Review","Siste omtale"
"List of Products Recently Viewed by Visitor","Liste over produkter nylig sett av besøkende"
"Low stock","Lav lagerbeholdning"
"Month","Måned"
"Most Viewed","Mest Vist"
"Name","Navn"
"New Accounts","Nye kontoer"
"No","Nei"
"Number Added","Antall lagt til"
"Number Fulfilled","Antall innfridd"
"Number Of Reviews","Antall omtaler"
"Number Purchased","Antall kjøpt"
"Number Viewed","Antall vist"
"Number of Items","Antall varer"
"Number of New Accounts","Antall nye kontoer"
"Number of Products to display","Antall produkter å vise"
"Number of Reviews","Antall omtaler"
"Number of Total Tags","Totalt antall tagger"
"Number of Unique Tags","Antall unike tagger"
"Number of Views","Antall visninger"
"Number of items bought from a wishlist: %s","Antall varer kjøpt fra en ønskeliste: %s"
"Number of times wishlists have been shared (emailed): %s","Antall ganger en ønskeliste har blitt delt via e-post: %s"
"Number of wishlist conversions: %s","Antall innfridde ønskelister: %s"
"Number of wishlist referrals: %s","Antall ønskelistehenvisninger: %s"
"Number of wishlists: %s","Antall ønskelister: %s"
"Order Status","Bestillingsstatus"
"Orders","Ordrer"
"Out of stock","Ikke på lager"
"Period","Periode"
"Poducts Report","Produktrapport"
"Popular Tags","Populære tagger"
"Popularity","Popularitet"
"Price","Pris"
"Product Name","Produktnavn"
"Product Reviews","Produktomtaler"
"Product SKU","Varekode"
"Product Tags","Produkttagger"
"Products","Produkter"
"Products Report","Produktrapport"
"Products Reviews","Produktomtaler"
"Products Tags","Produkttagger"
"Products in carts","Produkter i handlekurven"
"Quantity Ordered","Antall bestilt"
"Quantity of Items","Vareantall"
"Recently Compared","Nylig sammenlignet"
"Recently Compared Products","Nylig sammenlignede produkter"
"Recently Viewed","Nylig vist"
"Recently Viewed Products","Nylig viste produkter"
"Recently Viewed/Compared Products","Nylig sett/sammenlignede produkter"
"Refunds","Tilbakebetalinger"
"Report","Rapport"
"Reports","Rapporter"
"Results","Resultater"
"Revenue","Inntekter"
"Review","Omtale"
"Reviews","Produktomtaler"
"Reviews for %s","Omtaler for %s"
"Sales","Salg"
"Sales Report","Salgsrapport"
"Search Query","Søkeord"
"Search Terms","Søkeord"
"Shipping","Frakt"
"Shopping Cart","Handlekurv"
"Shopping Cart Price Rule","Prisregel for handlekurv"
"Show Actual Values","Vise faktiske verdier"
"Show Report","Vis rapport"
"Show for Current","Viser for gjeldende"
"Specified","Spesifisert"
"Stock Qty","Lagerbeholdning"
"Submitted In","Sendt i"
"Submitted On","Sendt inn"
"Subtotal","Delsum"
"Tag","Tagg"
"Tag ""%s"" details","Detaljer for tagg ""%s"""
"Tag Detail","Detaljer for tagg"
"Tag Name","Taggnavn"
"Tags submitted to %s","Tagger sendt til %s"
"Tax","Avgift"
"Title","Tittel"
"To","Til"
"Total","Totalt"
"Total Ordered Report","Totalt bestilt rapport"
"Total Tags","Totalt antall tagger"
"Total invoiced","Totalt fakturert"
"Total refunded","Totalt tilbakebetalt"
"Updated At","Oppdatert den"
"Viewed Products Grid Template","Sett produkter rutenettet mal"
"Viewed Products List Template","Sett produkter listemal"
"Visible In","Synlig i"
"Wishlist Report","Ønskelisterapport"
"Wishlist vs. Regular Order","Ønskeliste vs. standard bestilling"
"Wishlists","Ønskelister"
"Year","År"
"Yes","Ja"
"Your Recently Compared","Nylig sammenlignede produkter"
"Your Recently Viewed","Nylig viste rapporter"
