"* Select shipping method","* Velg leveringsmetode"
"2Day","2-dags"
"AVS Status: %s","AVS Status (adresseverifisering): %s"
"Add Shipping Method","Legg til forsendelsesmetode"
"Allowed Methods","Tillatte metoder"
"Amount: %s","Beløp: %s"
"Auto-generated from GoogleCheckout Charge","Automatisk generert fra Google Checkout-debitering"
"CC Partial: xxxx-%s","Kredittkortnummer: xxxx-%s"
"CID Status: %s","CID (kunde-ID) Status: %s"
"Carrier Calculated Methods","Fraktleverandør kalkulasjonsmetoder"
"Cart Discount","Rabatt"
"Checkout Image Style","Bildestil i kassen"
"Commercial","Kommersiell"
"Continue Shopping URL","URL til 'Fortsett å handle'"
"Debug","Feilsøk"
"Default Package Height (in)","Standard høyde"
"Default Package Length (in)","Standard lengde"
"Default Package Width (in)","Standard bredde"
"Default price:","Standardpris:"
"Delivery Address Category","Kategori for Leveringsadresse"
"Disable Default Tax Tables","Deaktiver standard momstabeller"
"Enable","Aktivere"
"Enable Carrier Calculated","Aktiver fraktleverandør-kalkulasjon"
"Enable Digital Delivery","Aktiver digital levering"
"Enable Flat Rate","Aktiver flat sats"
"Enable Merchant Calculated","Aktiver merchant kalkulering"
"Enable this if your checkout request is too big and being cut off.","Enable this if your checkout request is too big and being cut off"
"Expiration: %s","Utløper: %s"
"Express Saver","Ekspress lagring"
"Financial: %s -> %s","Finans: %s -> %s"
"Free Shipping","Gratis frakt"
"Fulfillment: %s -> %s","Innfrielse: %s -> %s"
"Google API","Google API:"
"Google Authorization:","Google autorisering:"
"Google Charge:","Google debitering:"
"Google Checkout","Google Checkout:"
"Google Checkout Shipping - Carrier Calculated","Google Checkout forsendelse - kalkulert av transportør"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digital levering"
"Google Checkout Shipping - Flat Rate","Google Checkout forsendelse - fast takst"
"Google Checkout Shipping - Merchant Calculated","Google Checkout forsendelse - kalkulert av butikken"
"Google Checkout: %s","Google Checkout %s"
"Google Order Number: %s","Ordrenummer hos Google: %s"
"Google Refund:","Google tilbakebetaling:"
"Google Risk Information:","Informasjon om risiko fra Google:"
"Ground","Bakken"
"Home Delivery","Hjemkjøring"
"IP Address: %s","IP-adresse: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","If enabled, cart contents will be hidden after clicking on the Google Checkout-button in the shopping cart, and restored if ""Edit Cart"" link was activated."
"Inches","Tommer"
"Large - %s","Stor: %s"
"Latest Charge: %s","Sist belastet: %s"
"Latest Refund: %s","Sist tilbakebetalt: %s"
"Location","Plassering"
"Medium - %s","Medium: %s"
"Merchant ID","Selger ID"
"Merchant Key","Merchant-nøkkel"
"Method","Metode"
"New Order Status","Ny ordrestatus"
"No","Nei"
"Optional, leave empty for home page.","Valgfri, la stå tom for hovedsiden."
"Parcel Post","Pakkepost"
"Rate 1 Amount","Rate 1 beløp"
"Rate 1 Ship To Applicable Countries","Rate 1 ship To Applicable Country"
"Rate 1 Ship to Specific Countries","Rate 1 ship to Specific Country"
"Rate 1 Title","Rate 1 tittel"
"Rate 2 Amount","Rate 2 beløp"
"Rate 2 Ship To Applicable Countries","Rate 2 Ship To Applicable Country"
"Rate 2 Ship to Specific Countries","Rate 2 Ship to Specific Country"
"Rate 2 Title","Rate 2 tittel"
"Rate 3 Amount","Rate 3 beløp"
"Rate 3 Ship To Applicable Countries","Rate 3 Ship To Applicable Country"
"Rate 3 Ship to Specific Countries","Rate 3 Ship to Specific Country"
"Rate 3 Title","Rate 3 beløp"
"Sandbox","Testmiljø"
"Secure Callback URL","Sikker Callback URL"
"Small - %s","Liten: %s"
"Standard Overnight","Standard over-natt"
"Title","Tittel"
"Total Charged: %s","Totalt belastet: %s"
"Total Refunded: %s","Totalt tilbakebetalt: %s"
"White Background","Hvit bakgrunn"
"Yes","Ja"
"You will be redirected to GoogleCheckout in a few seconds.","You will be redirected to Google Checkout in a few seconds."
