"%1$s incl tax.","%1$s inkl mva."
"* Required Fields","* Nødvendige felt"
"-- Select --","-- Velg --"
"Add New Option","Legg til nytt alternativ"
"Add Selection","Legg til valg"
"As Low as","Så lav som"
"As low as","Så lav som"
"Bundle Items","Pakke-elementer"
"Bundle Product","Bundle produkt"
"Buy %1$s for %2$s","Kjøp %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Kjøp %1$s for %2$s (%3$s inkl mva) hver"
"Buy %1$s for %2$s each","Kjøp %1$s for %2$s hver"
"Buy %1$s with %2$s discount each","Kjøp %1$s med %2$s rabatt for hver"
"Checkbox","Avkryssingsboks"
"Choose a selection...","Velg et utvalg..."
"Click for price","Klikk for pris"
"Close","Lukk"
"Default","Standard"
"Default Qty","Standard antall"
"Default Title","Standard tittel"
"Drop-down","Rullegardin"
"Dynamic","Dynamisk"
"Excl. Tax","ex. moms"
"Excl. Tax:","Eksl mva:"
"Fixed","Fast"
"From","Fra"
"From:","Fra:"
"Gift Message","Gavemelding"
"Incl. Tax","Inkl. MVA"
"Incl. Tax:","Inkl mva"
"Input Type","Inndatatype"
"Is Required","Påkrevd"
"Message:","Melding:"
"Multiple Select","Merk flere"
"N/A","I/T"
"No options of this product are available.","Ingen alternativer med dette produktet er tilgjengelig."
"None","Ingen"
"Percent","Prosent"
"Percent Discount","Prosent rabatt"
"Please enter a number greater 0 in this field.","Skriv inn et tall større 0 i dette feltet."
"Please enter search conditions to view products.","Skriv søkekriterie for å vise produkter"
"Please select options for product.","Velg alternativer for produkt."
"Please specify product option(s).","Angi alternativ(er) for produktet."
"Position","Posisjon"
"Price Range","Prisområde"
"Price Type","Pristype"
"Price as configured","Pris som konfigurert"
"Qty:","Antall:"
"Radio Buttons","Radioknapper"
"SKU","Varenummer"
"Separately","Separat"
"Ship Bundle Items","Send pakke-elementer"
"Shipment","Forsendelse"
"Store View Title","Butikk se tittel"
"This product is also part of bundle(s)","Dette produktet er ogs� den av bundle(er)"
"To","Til"
"To:","Til:"
"Together","Sammen"
"Total incl. Tax: %1$s","Total inkl mva: %1$s"
"Use Default Value","Bruk standardverdi"
"User Defined Qty","Brukerdefinert antall"
"and","og"
"each","hver"
"save","spar"
