"-- Please select --","-Vennligst velg--"
"API Key","API-nøkkel"
"Base Currency","Standardvaluta"
"Continue &raquo;","Fortsett &raquo;"
"Country","Land"
"Country and Format Type combination should be unique","Kombinasjonen Land og Formattype må være unik"
"Currency","Valuta"
"Currency Options","Valutainnstillinger"
"Currency Setup","Valutaoppsett"
"Currency Update Warnings","Valuta oppdateringsvarsler"
"Enabled","Aktivert"
"Error Email Recipient","E-postmottaker for feil"
"Error Email Sender","Feil Epost Sender"
"Error Email Template","Feil Epost Mal"
"FATAL ERROR:","FATAL FEIL:"
"Frequency","Frekvens"
"Installed Currencies","Intallerte valutaer"
"Invalid country code: %s","Ugyldig landskode: %s"
"Invalid rates received","Ugyldige kurser mottatt"
"Scheduled Import Settings","Import-innstillinger"
"Select Your Currency","Velg din valuta"
"Service","Tjeneste"
"Start Time","Starttid"
"State/Province","Stat/provins"
"WARNING:","ADVARSEL:"
"Your current currency is: %s","Gjeldende valuta er: %s"
