"Add Minimum Qty","Legg til minimum antall"
"Allow Qty Below 0","Tillate antall under 0"
"Allow Qty Below 0 and Notify Customer","Tillate antall under 0 og gi kunde beskjed"
"Backorders","Restordre"
"By Fixed value","Med fast beløp"
"By Percentage","Med prosent"
"Catalog Inventory","Lagerstatus"
"Decrease Stock When Order is Placed","Reduser lagerbeholdning ved kjøp"
"Display Out of Stock Products","Vis varer som ikke er på lager"
"Enable Qty Increments","Aktiver antall intervaller"
"In Stock","På lager"
"Inventory","Lager"
"Inventory API","Lager API"
"Manage Stock","Administrer lager"
"Maximum Qty Allowed in Shopping Cart","Maksimum antall tillatt i handlekurv"
"Minimum Qty","Minimum antall"
"Minimum Qty Allowed in Shopping Cart","Minimum antall tillatt i handlekurv"
"No Backorders","Ingen restordrer"
"Notify for Quantity Below","Varsle om antall nedenfor"
"Only X left Threshold","Bare X igjen terskelverdi"
"Out of Stock","Ikke på lager"
"Product Name","Produktnavn"
"Product Stock Options","Alternativer for produktlager"
"Products will still be shown by direct product URLs.","Produkter vil fremdeles være vist ved direkte produkt url."
"Qty","Antall"
"Qty Increments","Antall intervaller"
"Retrieve stock data","Hent lagerdata"
"Retrieve stock data by product ids","Hent lagerdata basert på produkt ID"
"Rule price","Regel pris"
"Set Items' Status to be In Stock When Order is Cancelled","Flytt varen(e) tilbake på lager dersom ordren blir kansellert"
"Stock Options","Lager alternativer"
"Stock Status","Lagerstatus"
"The maximum quantity allowed for purchase is %s.","Maks antall som kan bestilles: %s."
"The minimum quantity allowed for purchase is %s.","Minimum antall som kan bestilles: %s."
"The requested quantity for ""%s"" is not available.","""%s"" er dessverre ikke tilgjengelig i ønsket antall."
"The stock item for Product in option is not valid.","Lagervare for produktet i alternativet er ikke gyldig."
"This product is currently out of stock.","Dette produktet er ikke på lager for øyeblikket."
"To Fixed Value","Til fast verdi"
"To Percentage","Til prosent"
"Update","Oppdater"
"Update product stock data","Oppdater lagerdata"
"Update the Product","Oppdater dette produktet"
