"Actions","Handlinger"
"Active","Aktiv"
"Add New Rule","Legg til ny regel"
"Apply","Anvend"
"Apply Rules","Bruke regler"
"Attribute Set","Attributtsett"
"By Fixed Amount","Med fast beløp"
"Catalog","Katalog"
"Catalog Price Rule","Katalog prisregel"
"Catalog Price Rules","Prisregler for varekatalog"
"Category","Kategori"
"Conditions","Betingelser"
"Conditions (leave blank for all products)","Vilkår (blank for alle produkter)"
"Conditions Combination","Betingelsekombinasjon"
"Customer Groups","Kundegrupper"
"Date Expire","Utløpsdato"
"Date From","Dato fra"
"Date Start","Startdato"
"Date To","Dato til"
"Description","Beskrivelse"
"Discount Amount","Rabattbeløp"
"Edit Rule","Rediger regel"
"Edit Rule '%s'","Endre regel '%s'"
"Expiration Date","Utløpsdato"
"From Date","Fra dato"
"General Information","Generell Informasjon"
"ID","Id"
"Inactive","Inaktiv"
"New Rule","Ny regel"
"No","Nei"
"Options","Innstillinger"
"Priority","Prioritet"
"Product Attribute","Produkt-attributt"
"Promotions","Kampanjer"
"Rule Information","Regel-informasjon"
"Rule Name","Regelnavn"
"Save and Apply","Lagre og bruk"
"Save and Continue Edit","Lagre og fortsett redigering"
"Start Date","Startdato"
"This rule no longer exists.","Denne regelen finnes ikke lenger."
"To Date","Til dato"
"To Fixed Amount","Til fast beløp"
"Update product's %s %s: %s","Oppdater produktets %s %s: %s"
"Website","Nettsted"
"Websites","Nettsider"
"Yes","Ja"
