"%s Item(s)","%s vare(r)"
"(Shift-)Click or drag to change value","(Skift-)Klikk eller dra for å forandre verdi"
"(ver. %s)","(v. %s)"
"- Click on any of the time parts to increase it","- Klikk på en av tidsvelgerene for å øke den"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold museknappen på noen av knappene over for raskere valg."
"- Use the %s buttons to select month","- Bruk %s knappene for å velge måned"
"- Use the %s, %s buttons to select year","- Bruk %s, %s knappene for å velge år"
"- or Shift-click to decrease it","- eller Skift-klikk for å redusere det"
"- or click and drag for faster selection.","- eller klikk og dra for raskere valg"
"-- Please Select --","-Vennligst velg--"
"1 column","1 kolonne"
"2 columns with left bar","2 kolonner med venstre stolpe"
"2 columns with right bar","2 kolonner med høyre stolpe"
"3 columns","Tre kolonner"
"About the calendar","Om kalenderen"
"Account","Konto"
"All Pages","Alle Sider"
"Allow","Tillat"
"Click <a href=""%s"">here</a> if nothing has happened","Klikk <a href=""%s"">her</a> dersom ingenting skjer"
"Close","Lukk"
"Close Window","Lukk vindu"
"Date selection:","Dato valg:"
"Default Description","Standard beskrivelse"
"Default welcome msg!","Standard velkommen msg!"
"Display %s first","Vis %s først"
"Drag to move","Dra for å flytte"
"Empty","Tom"
"Go Today","I Dag"
"Help Us to Keep Magento Healthy","Hjelp oss å holde Magento sunn"
"Interface Language","Språk"
"Items %s to %s of %s total","Vare %s til %s av totalt %s"
"JavaScript seems to be disabled in your browser.","JavaScript kan være deaktivert i din nettleseren."
"Left Column","Venstre kolonne"
"Menu","Meny"
"Next","Neste"
"Next month (hold for menu)","Neste måned (hold for meny)"
"Next year (hold for menu)","Neste år (hold for meny)"
"Page:","Side:"
"Prev. month (hold for menu)","Forrige måned (hold for meny)"
"Prev. year (hold for menu)","Forrige år (hold for meny)"
"Previous","Forrige"
"Redirecting...","Videresender..."
"Report All Bugs","Rapporter alle feil"
"Right Column","Høyre kolonne"
"Search","Søk"
"Select Store","Velg en butikk"
"Select date","Velg dato"
"Show","Vis"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Dette er en demobutikk. Bestillinger i denne butikken blir ikke behandlet."
"Time:","Tid:"
"View All","Vis alle"
"Welcome, %s!","Velkommen %s!"
"Your Language","Ditt språk"
"Your Language:","Ditt språk:"
"per page","per side"
