"Add","Legg til"
"Allow Gift Messages for Order Items","Tillat gavemeldinger for varer i bestilling"
"Allow Gift Messages on Order Level","Tillat gavemeldinger på ordrenivå"
"Are you sure?","Er du sikker?"
"Cancel","Avbryt"
"Do you have any gift items in your order?","Er noen av varene i bestillingen din gaver?"
"Edit","Redigere"
"From","Fra"
"Gift Message","Gavemelding"
"Gift Options","Gavealternativ"
"Gift Options for Individual Items","Gavealternativ for enkelte varer"
"Item %d of %d","Vare %d av %d"
"Message","Beskjed"
"No","Nei"
"Save Gift Message","Lagre gavemelding"
"To","Til"
"Unknown entity type","Ukjent instanstype"
"Use config","Bruk konfigurasjon"
"Yes","Ja"
