"ALL","ALLE"
"ANY","NOEN"
"Add","Legg til"
"Apply","Anvend"
"Conditions Combination","Betingelsekombinasjon"
"FALSE","FEIL"
"If %s of these conditions are %s:","Hvis %s av disse betingelsene er %s:"
"Invalid discount amount.","Ugyldig rabattbeløp."
"Open Chooser","Åpne Velger"
"Perform following actions","Utfør følgende handlinger"
"Please choose a condition to add...","Velg en betingelse som skal legges til"
"Please choose an action to add...","Velg en handling som skal legges til"
"Remove","Fjern"
"TRUE","SANT"
"by","av"
"contains","inneholder"
"does not contain","inneholder ikke"
"does not contains","inneholder ikke"
"equals or greater than","lik eller større enn"
"equals or less than","er lik eller mindre enn"
"from","fra"
"greater than","større enn"
"is","er"
"is not","er ikke"
"is not one of","er ikke en av"
"is one of","er en av"
"less than","mindre enn"
"to","til"
"was not","var ikke"
