"--Please Select--","-Vennligst velg--"
"API Login ID","API påloggings-ID"
"Accepted Currency","Akseptert valuta"
"Authorize.net Direct Post","Authorize.net direkte Post"
"Card Verification Number","Kort verifikasjonsnummer"
"Card Verification Number Visual Reference","Kortverifiseringsnummer"
"Close","Lukk"
"Credit Card Information","Kredittkortinformasjon"
"Credit Card Number","Kredittkortnummer"
"Credit Card Type","Kredittkorttype"
"Credit Card Types","Kredittkorttyper"
"Credit Card Verification","Bankkort-verifisering"
"Debug","Feilsøk"
"Email Customer","E-post kunde"
"Enabled","Aktivert"
"Expiration Date","Utløpsdato"
"Maximum Order Total","Maks ordretotal"
"Merchant MD5","Kjøpmann MD5"
"Merchant's Email","Forhandlerens e-post"
"Minimum Order Total","Minimum ordretotal"
"New Order Status","Ny ordrestatus"
"Order saving error: %s","Feil under lagring av bestilling: %s"
"Payment Action","Betalingshandling"
"Payment authorization error.","Godkjenning av betaling feilet."
"Payment from Applicable Countries","Betaling fra aktuelle land"
"Payment from Specific Countries","Betaling fra bestemte land"
"Sort Order","Sorteringsrekkefølge"
"Test Mode","Testmodus"
"There was an error processing your order. Please contact us or try again later.","Det oppstod en feil under behandling av din ordre. Vennligst kontakt oss eller prøv igjen senere."
"Title","Tittel"
"Transaction Key","Transaksjonsnøkkel"
"What is this?","Hva er dette?"
