"All Websites","Alle nettsteder"
"Display Prices In Emails","Vis priser i epost"
"Display Prices In Product Lists","Vis priser i produktlister"
"Display Prices In Sales Modules","Vise pris i salgsmoduler"
"Display Prices On Product View Page","Vis priser på produktsidene"
"Enable FPT","Aktiver FTP"
"Excluding FPT","Ekskluder FPT"
"Excluding FPT, FPT description, final price","Ekskluder FPT, FPT beskrivelse, endelig pris"
"Fixed Product Tax","Fast Produkt Skatt"
"Fixed Product Taxes","Fast momssatser på produkt"
"Include FPT In Subtotal","Inkluder FPT i delsum"
"Including FPT and FPT description","Inkludert FPT- og FPT-beskrivelse"
"Including FPT and FPT description [incl. FPT VAT]","Inkludert FPT og FPT beskrivelse [eksl. FPT moms]"
"Including FPT only","Inkludere kun FPT"
"Total","Totalt"
"Total Incl. Tax","Totalt inkl. mva"
"Total incl. tax","Totalt inkl. moms"
"Total:","Totalt:"
