"Action","Handling"
"Add Sitemap","Legg til sidekart"
"Always","Alltid"
"CMS Pages Options","Alternativer for innholdssider (CMS)"
"Categories Options","Kategorialternativer"
"Daily","Daglig"
"Edit Sitemap","Redigere sidekart"
"Enabled","Aktivert"
"Error Email Recipient","E-postmottaker for feil"
"Error Email Sender","Feil Epost Sender"
"Error Email Template","Feil Epost Mal"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Filen ""%s"" kunne ikke lagres. Sjekk at katalogen ""%s"" er skrivbar for webserveren."
"Filename","Filnavn"
"Frequency","Frekvens"
"Generate","Generere"
"Generation Settings","Innstillinger for opprettelse av sidekart"
"Google Sitemap","Google sidekart"
"Hourly","Hver time"
"ID","Id"
"Last Time Generated","Sist generert"
"Link for Google","Link til Google"
"Monthly","Månedlig"
"Never","Aldri"
"New Sitemap","Nytt sidekart"
"Path","Sti"
"Please create the specified folder ""%s"" before saving the sitemap.","Opprett katalogen ""%s"" f�r du lagrer sidekartet."
"Please define correct path","Vennligst definer korrekt sti"
"Please make sure that ""%s"" is writable by web-server.","Sjekk at ""%s"" er skrivbar for webserveren."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Bare bruk A-Z, a-z, 0-9 eller andre normale tegn."
"Priority","Prioritet"
"Products Options","Produktalternativer"
"Sitemap","Sidekart"
"Sitemap generate Warnings","Advarsler under generering av sidekart"
"Start Time","Starttid"
"Store View","Butikkvisning"
"This sitemap no longer exists.","Dette sidekartet finnes ikke lenger."
"Weekly","Ukentlig"
"Yearly","Årlig"
