"-- Please Select --","-Vennligst velg--"
"Add New Class","Legg til ny klasse"
"Add New Tax Rate","Legg til ny skatteregel"
"Add New Tax Rule","Legg til ny skatteregel"
"Apply Tax On","Legg til moms på"
"Are you sure you want to do this?","Er du sikker pÃ¥ at du vil gjÃ¸re dette?"
"Back","Tilbake"
"Before Discount","FÃ¸r rabatt"
"Catalog Prices","Katalogpris"
"Class Name","Navn på klasse"
"Code","Kode"
"Country","Land"
"Custom price if available","Egendefinert pris hvis tilgjengelig"
"Customer Tax Class","Momsklasse for kunde"
"Customer Tax Class Information","Momsklasse for kunde"
"Customer Tax Classes","Momsklasser for kunde"
"Default Country","Standardland"
"Default Post Code","Standard postkode"
"Default State","Standard fylke"
"Delete Class","Slett klasse"
"Delete Rate","Slett forhold"
"Delete Rule","Slett regelen"
"Display Full Tax Summary","Vis full mva-sammendrag"
"Display Shipping Prices","Vis fraktkostnader"
"Display Subtotal","Vise delsum"
"Display Zero Tax Subtotal","Vise null mva delsum"
"Edit Class","Rediger klasse"
"Edit Class '%s'","Rediger klasse '%s'"
"Edit Rule","Rediger regel"
"Edit Tax Rate","Endre momssats"
"Excl. Tax","ex. moms"
"Excl. Tax:","Eksl mva:"
"Excluding Tax","Ekskludert Skatt"
"Export Tax Rates","Eksportere skattesatser"
"Grand Total (Excl.Tax)","Totalsum (eks. mva)"
"Grand Total (Incl. Tax)","Totalsum (inkl. mva)"
"Grand Total (Incl.Tax)","Totalsum (inkl. mva)"
"Grand Total Excl. Tax","Total uten mva"
"Grand Total Incl. Tax","Total inkl mva"
"Import / Export Tax Rates","Importere / eksportere momssatser"
"Import Tax Rates","Importere skattesatser"
"Inc. Tax","Inkl. mva"
"Incl. Tax","Inkl. MVA"
"Incl. Tax:","Inkl mva"
"Including Tax","Inkludert Skatt"
"Invalid file format upload attempt","Ugyldig filformat for opplasting"
"Invalid file upload attempt","Ugyldig filopplasting forsÃ¸k"
"Manage Tax Rules","Administrer skatteregler"
"Name","Navn"
"New Class","Ny klasse"
"New Rule","Ny regel"
"New Tax Rate","Ny momssats"
"No","Nei"
"None","Ingen"
"One of the country has invalid code.","Et av landene har en ugyldig kode."
"Original price only","Kun orginalpris"
"Priority","Prioritet"
"Product Tax Class","Produkt Skatteklasse"
"Product Tax Class Information","Momsklasse for produkt"
"Product Tax Classes","Momsklasse for produkt"
"Range From","Rekkevidde fra"
"Range To","Rekkevidde til"
"Rate","Rangering"
"Reset","Nullstill"
"Row Total","Rader Totalt"
"Sales","Salg"
"Save Class","Lagre klasse"
"Save Rate","Lagre forhold"
"Save Rule","Lagre regel"
"Save and Continue Edit","Lagre og fortsett redigering"
"Shipping & Handling (Excl.Tax)","Frakt & hÃ¥ndtering (eks. mva)"
"Shipping & Handling (Incl.Tax)","Frakt & hÃ¥ndtering (inkl. mva)"
"Shipping Prices","Fraktpris"
"Sort Order","SorteringsrekkefÃ¸lge"
"State","Fylke"
"State/Region","Fylke/Region"
"Subtotal (Excl. Tax)","Delsum (ekskl. mva)"
"Subtotal (Excl.Tax)","Delsum (eks. mva)"
"Subtotal (Incl. Tax)","Delsum (inkl. mva)"
"Subtotal (Incl.Tax)","Delsum (inkl. mva)"
"Tax","Avgift"
"Tax Calculation Based On","Skatteberegning basert pÃ¥"
"Tax Class for Shipping","Momsklasse for frakt"
"Tax Classes","Skatt Klasser"
"Tax Identifier","Skatt identifikator"
"Tax Rate","Skattesats"
"Tax Rate Information","Skatteinformasjon"
"Tax Rule Information","Skatteinformasjon"
"Tax Rules","Momsregler"
"Tax Titles","Skatt titler"
"Tax rates at the same priority are added, others are compounded.","Skattesatser med samme prioritet er lagt til, andre er sammensatt."
"The tax rate has been imported.","Skattesatsen er importert."
"This class no longer exists","Denne klassen eksisterer ikke lenger"
"This rule no longer exists","Regelen eksisterer ikke"
"This rule no longer exists.","Denne regelen finnes ikke lenger."
"Total","Totalt"
"Unit Price","Enhetspris"
"Yes","Ja"
"You cannot delete this tax class as it is used for %d customer groups.","Du kan ikke slette denne momsklassen da den er i bruk i %d kundegrupper."
"You cannot delete this tax class as it is used for %d products.","Du kan ikke slette denne momsklassen da den er i bruk på %d produkter."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Du kan ikke slette denne momsklassen da den er i bruk i en eller flere momsregler. Du må først slette reglene før du kan slette klassen."
"Zip/Post Code","Postnummer"
"Zip/Post is Range","Zip/Post rekkevidde er"
