"Add","Legg til"
"Add New Row","Legg til ny rad"
"An error occurred while saving the file(s).","Feil ved lagring av fil(ene)."
"Availability:","Tilgjengelighet:"
"Back","Tilbake"
"Canceled","Avbrutt"
"Category API","Kategori API"
"Date","Dato"
"Default Link Title","Standard tittel på link"
"Default Maximum Number of Downloads","Standardverdi for maksimalt antall tillatte nedlastinger"
"Default Sample Title","Standard tittel på prøve"
"Delete","Slett"
"Downloadable Information","Nedlastbar informasjon"
"Downloadable Product","Nedlastbar produkt"
"Downloadable Product Options","Valg for nedlastbart produkt"
"Edit","Redigere"
"Edit item parameters","Rediger parametere"
"Excl. Tax","ex. moms"
"File","Fil"
"From:","Fra:"
"Gift Message","Gavemelding"
"Go to <a href=""%s"">My Downloadable Products</a>","Gå til <a href=""%s"">Mine nedlastbare produkter</a>"
"In stock","PÃ¥ lager"
"Incl. Tax","Inkl. MVA"
"Invoiced","Fakturert"
"Links can be purchased separately","Linker kan kjøpes separat"
"List","Liste"
"Max. Downloads","Maks antall nedlastinger"
"Message:","Melding:"
"Move","Flytt"
"My Downloadable Products","Mine nedlastbare produkter"
"Open Links in New Window","Åpne linker i nytt vindu"
"Order #","Ordre #"
"Ordered","Bestilt"
"Out of stock","Ikke pÃ¥ lager"
"Pending","Ventende"
"Please log in to download your product.","Vennligst logg inn for å laste ned dine produkter."
"Please specify product link(s).","Vennligst spesifiser produktlink(er)."
"Price","Pris"
"Qty","Antall"
"Refunded","Refundert"
"Remaining Downloads"," Nedlastinger igjen"
"Remove","Fjern"
"Remove Item","Fjern produkt"
"SKU","Varenummer"
"Sample","Eksempel"
"See price before order confirmation.","Se priser fÃ¸r ordrebekreftelse."
"Shareable","Delbar"
"Shipped","Sendt"
"Sort Order","SorteringsrekkefÃ¸lge"
"Start Download","Start nedlasting"
"Subtotal","Delsum"
"The link has expired.","Linken er utlÃ¸pt."
"Title","Tittel"
"To:","Til:"
"Unlimited","Ubegrenset"
"Update","Oppdater"
"Use Default Value","Bruk standardverdi"
"View Order","Vis bestilling"
"What's this?","Hva er dette?"
"You have not purchased any downloadable products yet.","Du har ikke kjÃ¸pt nedlastbare produkter enda."
"attachment","vedlegg"
"download","last ned"
"inline","in-line"
"sample","demovare"
