"1 star","1 stjerne"
"2 stars","2 stjerner"
"3 stars","3 stjerner"
"4 stars","4 stjerner"
"5 stars","5 stjerner"
"Add New Rating","Legg til ny vurdering"
"Assigned Options","Tilordnede alternativer"
"Be the first to review this product","Bli den første til å omtale produktet"
"Default Value","Standardverdi"
"Delete Rating","Slett vurdering"
"Edit Rating","Endre vurdering"
"ID","Id"
"If you do not specify a rating title for a store, the default value will be used.","Hvis du ikke angir en vurderingstittel for en butikk vil standardverdien benyttes."
"New Rating","Ny vurdering"
"Option Label","Valgetikett"
"Option Title","Alternativtittel"
"Option Title:","Alternativtittel:"
"Please select one of each ratings above","Gi en vurdering ovenfor"
"Rating Information","Informasjon om vurdering"
"Rating Name","Vurderingsnavn"
"Rating Options","Vurderingsalternativer"
"Rating Title","Vurderingstittel"
"Rating Visibility","Synlighet for vurdering"
"Rating isn't Available","Rating er ikke tilgjengelig"
"Rating with the same title","Vurdering med samme tittel"
"Save Rating","Lagre vurdering"
"Sort Order","Sorteringsrekkefølge"
"Visible In","Synlig i"
