"Add Recipient","Legg til mottaker"
"Allow for Guests","Tillat for gjester"
"Back","Tilbake"
"Email Address","E-postadresse"
"Email Address:","E-postadresse:"
"Email Templates","E-post maler"
"Email to a Friend","Send e-post til en venn"
"Email:","E-Post:"
"Enabled","Aktivert"
"Limit Sending By","Begrens sending med"
"Max Products Sent in 1 Hour","Maksimalt antall produkter som kan sendes pr time"
"Max Recipients","Max mottakere"
"Maximum %d email addresses allowed.","Maksimalt antall epost-adresser tillatt: %d."
"Message:","Melding:"
"Name","Navn"
"Name:","Navn:"
"Recipient:","Mottaker:"
"Remove Email","Fjern epost"
"Select Email Template","Velg e-post-mal"
"Send Email","Send e-post"
"Send product to a friend","Send produkt til en bekjent"
"Sender:","Sender"
"Some emails were not sent.","Noen e-poster ble ikke sendt."
"The link to a friend was sent.","Koblingen til en venn ble sendt."
