"Currency","കറൻസി"
"Manage Currency Rates","കറൻസി നിരക്കുകൾ നിയന്ത്രിക്കുക"
"Save Currency Symbols","കറൻസി ചിഹ്നങ്ങൾ സേവ് ചെയ്യുക"
"System","സിസ്റ്റം"
"Use Standard","സ്റ്റാൻഡേർഡ് ഉപയോഗിക്കുക"
