"Actions","പ്രവർത്തനങ്ങൾ"
"Active","സജീവമാണ്"
"Apply","പ്രയോഗിക്കുക"
"Attribute Set","ആട്രിബ്യൂട്ട് സെറ്റ്"
"Catalog","കാറ്റലോഗ്"
"Catalog Price Rules","കാറ്റലോഗ് വില നിയമം"
"Category","വിഭാഗം"
"Conditions","വ്യവസ്ഥകൾ"
"Conditions Combination","വ്യവസ്ഥകളുടെ സംയോജനം"
"Customer Groups","ഉപഭോക്തൃ ഗ്രൂപ്പുകൾ"
"Date From","തീയതി മുതൽ"
"Date To","തീയതി വരെ"
"Description","വിവരണം"
"Discount Amount","കിഴിവ് തുക"
"Edit Rule","റൂൾ എഡിറ്റുചെയ്യുക"
"Expiration Date","കാലഹരണപ്പെടുന്ന തീയതി"
"General Information","പൊതുവിവരം"
"ID","ഐഡി"
"Inactive","നിഷ്‌ക്രിയം"
"New Rule","പുതിയ നിയമം"
"No","ഇല്ല"
"Options","ഓപ്ഷനുകൾ"
"Priority","മുൻഗണന"
"Product Attribute","പ്രോഡക്റ്റ് ആട്രിബ്യൂട്ട്"
"Promotions","പ്രമോഷനുകൾ"
"Rule Information","റൂൾ വിവരങ്ങൾ"
"Rule Name","റൂളിന്റെ പേര്"
"Save and Apply","സേവ് ചെയ്ത് പ്രയോഗിക്കുക"
"Save and Continue Edit","സേവ് ചെയ്ത്എഡിറ്റ് തുടരുക"
"Start Date","ആരംഭ തീയതി"
"Status","സ്റ്റാറ്റസ്"
"This rule no longer exists.","ഈ നിയമം നിലവിലില്ല."
"Type","ടൈപ്പ്"
"Website","വെബ് സൈറ്റ്"
"Websites","വെബ്‌സൈറ്റുകൾ"
"Yes","അതെ"
