"Add","ചേർക്കുക"
"Are you sure?","നിങ്ങള്ക്ക് ഉറപ്പാണോ?"
"Cancel","റദ്ദാക്കുക"
"Edit","എഡിറ്റുചെയ്യുക"
"From","മുതൽ"
"Message","സന്ദേശം"
"No","ഇല്ല"
"To","വരെ"
"Use config","കോൺഫിഗറേഷൻ ഉപയോഗിക്കുക"
"Yes","അതെ"
