"Action","പ്രവർത്തനം"
"Always","എപ്പോഴും"
"Daily","ദിവസേന"
"Enabled","പ്രവർത്തനക്ഷമമാക്കി"
"Error Email Recipient","പിശക് ഇമെയിൽ സ്വീകർത്താവ്"
"ID","ഐഡി"
"Monthly","പ്രതിമാസം"
"Priority","മുൻഗണന"
"Start Time","ആരംഭ സമയം"
"Store View","സ്റ്റോർ വ്യൂ"
"Weekly","പ്രതിവാര"
