"Configuration","കോൺഫിഗറേഷൻ"
"Confirm Password","പാസ്‌വേഡ് സ്ഥിരീകരിക്കുക"
"Continue","തുടരുക"
"Database","ഡാ‍റ്റാബേസ്"
"Email","ഇമെയിൽ"
"Email Address","ഈ - മെയില് വിലാസം"
"First Name","പേരിന്റെ ആദ്യഭാഗം"
"Last Name","പേരിന്റെ അവസാന ഭാഗം"
"Password","പാസ്സ്‌വേര്‍ഡ്‌"
"Password Confirmation","പാസ്‌വേഡ് സ്ഥിരീകരണം"
"Personal Information","സ്വകാര്യ വിവരം"
"User Name","യൂസര്‍ നെയിം"
