"-- Please Select --","-- ദയവായി തിരഞ്ഞെടുക്കുക --"
"Are you sure you want to do this?","ഇത് ചെയ്യാൻ നിങ്ങൾ ആഗ്രഹിക്കുന്നുണ്ടോ?"
"Back","പിന്നിലേക്കു"
"Code","കോഡ്"
"Country","രാജ്യം"
"Edit Rule","റൂൾ എഡിറ്റുചെയ്യുക"
"Incl. Tax","നികുതി ഉൾപ്പെടെ"
"Name","പേര്"
"New Rule","പുതിയ നിയമം"
"No","ഇല്ല"
"None","ഒന്നുമില്ല"
"Priority","മുൻഗണന"
"Reset","പുനഃക്രമീകരിക്കുക"
"Row Total","വരി ആകെ"
"Sales","വിൽപ്പന"
"Save and Continue Edit","സേവ് ചെയ്ത്എഡിറ്റ് തുടരുക"
"Sort Order","ക്രമം"
"Tax","നികുതി"
"This rule no longer exists.","ഈ നിയമം നിലവിലില്ല."
"Total","ആകെ"
"Yes","അതെ"
