"-- Please Select --","-- ദയവായി തിരഞ്ഞെടുക്കുക --"
"Allow","അനുവദിക്കുക"
"Close","അടയ്ക്കുക"
"Next","അടുത്തത്"
"Previous","മുമ്പത്തെ"
"Search","തിരയുക"
