"Back","പിന്നിലേക്കു"
"Email Address","ഈ - മെയില് വിലാസം"
"Email Address:","ഈ - മെയില് വിലാസം:"
"Email to a Friend","ഒരു ചങ്ങാതിക്ക് ഇമെയിൽ ചെയ്യുക"
"Enabled","പ്രവർത്തനക്ഷമമാക്കി"
"Name","പേര്"
