"Enable","പ്രവർത്തനക്ഷമമാക്കുക"
"Inches","ഇഞ്ച്"
"Merchant ID","വ്യാപാരി ഐഡി"
"New Order Status","പുതിയ ഓർഡർ നില"
"No","ഇല്ല"
"Title","ശീർഷകം"
"Yes","അതെ"
