"Action","പ്രവർത്തനം"
"Database","ഡാ‍റ്റാബേസ്"
"Name","പേര്"
"Start Time","ആരംഭ സമയം"
"System","സിസ്റ്റം"
"Type","ടൈപ്പ്"
