"Actions","പ്രവർത്തനങ്ങൾ"
"Closed","അടച്ചു"
"Delete","നീക്കം ചെയ്യുക"
"ID","ഐഡി"
"Open","തുറക്കുക"
"Status","സ്റ്റാറ്റസ്"
