"Active","സജീവമാണ്"
"Add New Attribute","പുതിയ ആട്രിബ്യൂട്ട് ചേർക്കുക"
"Are you sure?","നിങ്ങള്ക്ക് ഉറപ്പാണോ?"
"Attribute Set","ആട്രിബ്യൂട്ട് സെറ്റ്"
"Attributes","ആട്രിബ്യൂട്ട്സ്"
"Catalog","കാറ്റലോഗ്"
"Confirm","ഉറപ്പിക്കുക"
"Delete","നീക്കം ചെയ്യുക"
"Items","ഇനങ്ങൾ"
"No","ഇല്ല"
"Product Name","ഉത്പന്നത്തിന്റെ പേര്"
"Remove","നീക്കം ചെയ്യുക"
"Yes","അതെ"
