"Authorize Only","അംഗീകാരം മാത്രം"
"Authorize and Capture","അംഗീകാരവും ക്യാപ്‌ചറും"
"Cancel","റദ്ദാക്കുക"
"Enabled","പ്രവർത്തനക്ഷമമാക്കി"
"New Order Status","പുതിയ ഓർഡർ നില"
"Payment Action","പേയ്‌മെന്റ് ആക്ഷൻ"
"Sort Order","ക്രമം"
"Test Mode","ടെസ്റ്റ് മോഡ്"
"Title","ശീർഷകം"
"Transaction Key","ഇടപാട് കീ"
"failed","പരാജയപ്പെട്ടു"
"refund","റീഫണ്ട്"
"successful","വിജയിച്ചു"
