"Access Key","ആക്സസ് കീ"
"Authorize Only","അംഗീകാരം മാത്രം"
"Authorize and Capture","അംഗീകാരവും ക്യാപ്‌ചറും"
"Email Sender","ഇമെയിൽ അയച്ചയാൾ"
"Enable","പ്രവർത്തനക്ഷമമാക്കുക"
"Merchant ID","വ്യാപാരി ഐഡി"
"New Order Status","പുതിയ ഓർഡർ നില"
"Payment Action","പേയ്‌മെന്റ് ആക്ഷൻ"
"Secret Key","രഹസ്യ കീ"
"Title","ശീർഷകം"
