"Action","പ്രവർത്തനം"
"Delete","നീക്കം ചെയ്യുക"
"Description","വിവരണം"
"Disable","പ്രവർത്തനരഹിതമാക്കുക"
"Enable","പ്രവർത്തനക്ഷമമാക്കുക"
"General","ജനറൽ"
"No","ഇല്ല"
"Refresh","പുതുക്കുക"
"Status","സ്റ്റാറ്റസ്"
"System","സിസ്റ്റം"
"Yes","അതെ"
