"-- Please Select --","-- ദയവായി തിരഞ്ഞെടുക്കുക --"
"Add to Cart","കാർട്ടിലേക്ക് ചേർക്കുക"
"Choose an Option...","ഒരു ഓപ്ഷൻ തിരഞ്ഞെടുക്കുക..."
"Enabled","പ്രവർത്തനക്ഷമമാക്കി"
"General Settings","പൊതുവായ ക്രമീകരണങ്ങൾ"
"Height","ഉയരം"
"In Stock","സ്റ്റോക്കുണ്ട്"
"Out of Stock","ശേഖരം തീർന്നു പോയി"
"Previous","മുമ്പത്തെ"
"Width","വീതി"
