"-- Please Select --","-- ദയവായി തിരഞ്ഞെടുക്കുക --"
"Attribute Code","ആട്രിബ്യൂട്ട് കോഡ്"
"Attribute Label","ആട്രിബ്യൂട്ട് ലേബൽ"
"Customers","ഉപഭോക്താക്കൾ"
"From","മുതൽ"
"Import","ഇമ്പോർട്"
"Products","ഉൽപ്പന്നങ്ങൾ"
"Status","സ്റ്റാറ്റസ്"
"There are no product types available for export","കയറ്റുമതിക്കായി പ്രോഡക്റ്റ് ടൈപ്പ് ഒന്നും ലഭ്യമല്ല"
"To","വരെ"
