"Email","ഇമെയിൽ"
"General Settings","പൊതുവായ ക്രമീകരണങ്ങൾ"
"Please enter a valid email.","സാധുവായ ഒരു ഇമെയിൽ നൽകുക."
"User Name","യൂസര്‍ നെയിം"
