"Add Option","Añadir Opción"
"Attempt to add an invalid object","Se intentó agregar un objeto inválido"
"Attribute Code","Código Atributo"
"Attribute Label","Etiqueta de Atributo"
"Attribute Properties","Propiedades Atributo:"
"Attribute with the same code","Atributo con el mismo código"
"Catalog Input Type for Store Owner","Tipo de entrada del catálogo para el dueño de la tienda"
"Data integrity: No header row found for attribute","Integridad de datos: No se ha encontrado la fila del encabezado para el atributo"
"Decimal Number","Número Decimal"
"Default Value","Valor por defecto"
"Default option value is not defined","No se ha definido un valor por defecto para la opción"
"Delete","Borrar"
"Dropdown","Lista Desplegable"
"Email","Correo electrónico"
"Entity is not initialized","La entidad no está inicializada"
"Frontend label is not defined","La etiqueta del frontend no está definida"
"Input Validation for Store Owner","Validacion de entrada para el propietario de la tienda"
"Integer Number","Número entero"
"Invalid attribute name: %s","Nombre de atributo inválido %s"
"Invalid attribute requested: %s","Se ha solicitado un atributo inválido: %s"
"Invalid attribute type","Tipo de atributo inválido"
"Invalid character encountered in increment ID: %s","Se encontró un caracter inválido en el ID de incremento: %s"
"Invalid entity specified","Se ha especificado una entidad inválida"
"Invalid entity supplied: %s","Se ha proporcionado una entidad inválida: %s"
"Invalid entity type","Tipo de entidad inválido"
"Invalid entity_type specified: %s","El valor de entity_id especificado es inválido: %s"
"Invalid foreign key","La clave foránea es inválida"
"Invalid store specified","La tienda especificada es inválida"
"Joined field with this alias is already declared","La unión de los campos con este alias ya se ha declarado"
"Letters","Cartas"
"Loaded %d records","Se cargaron %d registros"
"None","Ninguno"
"Not shared with other products","No compartido con otros productos"
"Problem loading the collection, aborting. Error: %s","Problema al cargar la colección, cancelando. Error: %s"
"Problem saving the collection, aborting. Error: %s","Hubo un problema al grabar la colección, cancelando. Error: %s"
"Required","Requerido"
"System","Sistema"
"Text Area","Area de texto"
"Text Field","Campo de texto"
"Unique Value","Valor único"
"Unique Value (not shared with other products)","Valor &uacute;nico (no compartido con otros productos)"
"Unknown parameter","Parámetro desconocido"
"Values Required","Valores requeridos"
"Wrong attribute group ID","El ID del grupo de atributos es erróneo"
"Wrong attribute set ID","El ID del conjunto de atributos es erróneo"
"Wrong entity ID","El ID de la entidad es erróneo"
"Yes","Sí"
"Yes/No","Sí/No"
