"Add New Role","Agregar un nuevo rol"
"Admin","Administrador"
"Assigned","Asignado"
"Attribute Set","Conjunto Atributo"
"Back","Volver atrás"
"Backorders","Ordenes en espera"
"Catalog","Catálogo"
"City","Ciudad"
"Company","Compañia"
"Country","País"
"Coupon Code","Código de cupón"
"Create","Crear"
"Customer","Cliente"
"Delete","Borrar"
"Discount","Descuento"
"Discount Amount","Cantidad de descuento"
"Edit","Editar"
"Edit Role","Editar el rol"
"Email","Correo electrónico"
"Exclude","Excluir"
"First Name","Nombre"
"Grand Total","Total"
"Group","Grupo"
"Guest","Invitado"
"Label","Etiqueta"
"Last Name","Apellido"
"Maximum Qty Allowed in Shopping Cart","Cantidad máxima permitida en el carrito de compras"
"Minimum Qty Allowed in Shopping Cart","Cantidad mínima permitida en el carrito de compras"
"Notify for Quantity Below","Notificar para cantidad menor que"
"Order","Pedido"
"Order Comments","Comentarios del Pedido"
"Order Date","Fecha del Pedido"
"Order Status","Estado del Pedido"
"Orders","Pedidos"
"Original Price","Precio original"
"Payment Method","Método de pago"
"Price","Precio"
"Product","Producto"
"Product ID","ID de producto"
"Product Type","Tipo de producto"
"Qty","Ctdad"
"Qty Uses Decimals","La cantidad usa decimales"
"Role Info","Info del rol"
"Role Information","Información del rol"
"Role Name","Nombre del rol"
"Role Users","Usuarios del rol"
"SKU","Código"
"Save","Guardar"
"Shipping Amount","Importe del envío"
"Shipping Method","Método de envío"
"State","Estado"
"Stock Availability","Disponibilidad Inventario"
"Store Name","Nombre de la tienda"
"System","Sistema"
"Tax Amount","Importe del impuesto"
"Tax Rate","Tasa del impuesto"
"Total Due","Total adeudado"
"Total Paid","Total pagado"
"Total Refunded","Total devuelto"
"Type","Tipo"
"Update","Actualizar"
"ZIP/Postal Code","Código postal"
