"Action","Acción"
"Add Sitemap","Agregar un mapa del sitio"
"Always","Siempre"
"CMS Pages Options","Opciones para las páginas CMS"
"Categories Options","Opciones para las categorías"
"Daily","Diariamente"
"Edit Sitemap","Editar el mapa del sitio"
"Enabled","Habilitado"
"Error Email Recipient","Error en el destinatario del correo electrónico"
"Error Email Sender","Error en el remitente del correo electrónico"
"Error Email Template","Error en la plantilla del correo electrónico"
"Filename","Nombre del archivo"
"Frequency","Frecuencia"
"Generation Settings","Configuraciones de generación"
"Google Sitemap","Mapa del sitio Google"
"Hourly","Cada hora"
"Last Time Generated","Ultima vez que se generó"
"Link for Google","Enlace para Google"
"Monthly","Mensualmente"
"Never","Nunca"
"New Sitemap","Nuevo mapa del sitio"
"Path","Ruta"
"Priority","Prioridad"
"Products Options","Opciones para los productos"
"Sitemap generate Warnings","El mapa del sitio genera advertencias"
"Start Time","Hora de inicio"
"Store View","Vista de tienda"
"Weekly","Semanalmente"
"Yearly","Anualmente"
