"%s and greater","%s y mayor"
"Advanced Search","Búsqueda Avanzada"
"All","Todos"
"Catalog Advanced Search","Búsqueda avanzada en el catálogo"
"Go to Home Page","Ir a la página de Inicio"
"Grid","Cuadricula"
"Home","Inicio"
"List","Lista"
"Modify your search","Modifique su búsqueda"
"Popular Search Terms","Términos de Búsqueda Populares"
"Results","Resultados"
"Search","Buscar"
"Search Settings","Configuraciones de la búsqueda"
"Search Terms","Términos de  búsqueda"
"Search entire store here...","Buscar en toda la tienda..."
"Search results for '%s'","Resultados de la búsqueda para '%s'"
"Search results for: '%s'","Resultados de la búsqueda para: '%s'"
"Subscribe to Feed","Suscribirse al feed RSS"
"There are no search terms available.","No existen términos de búsqueda disponibles."
"Yes","Sí"
"Your search returns no results.","Su búsqueda no devolvió resultados."
"up to %s","hasta %s"
