"-- Please Select --","-- Por favor, seleccione --"
"Add New Class","Agregar una nueva clase"
"Add New Tax Rate","Agregar una nueva tasa de impuesto"
"Add New Tax Rule","Agregar una nueva regla de impuesto"
"Are you sure you want to do this?","Est&aacute; seguro de que quiere hacer esto?"
"Back","Volver atrás"
"Class Name","Nombre de la clase"
"Code","Código"
"Country","País"
"Customer Tax Class Information","Información de la clase de impuesto al cliente"
"Customer Tax Classes","Impuestos al cliente"
"Delete Class","Borrar la clase"
"Delete Rate","Borrar la tasa"
"Delete Rule","Borrar la regla"
"Edit Class","Editar la clase"
"Edit Class '%s'","Editar la clase '%s'"
"Edit Rule","Editar la regla"
"Edit Tax Rate","Editar la tasa de impuesto"
"Export Tax Rates","Exportar las tasas de impuesto"
"Import / Export Tax Rates","Importar / Exportar las tasas de impuesto"
"Import Tax Rates","Importar las tasas de impuesto"
"Inc. Tax","Con IVA"
"Invalid file format upload attempt","El formato del archivo que se intenta subir es inválido"
"Invalid file upload attempt","El intento de subir el archivo fue inválido"
"Manage Customer Tax Classes","Gestionar clases de impuesto al cliente"
"Manage Product Tax Classes","Gestionar clases de impuesto al producto"
"Manage Tax Rates","Gestionar tasas de impuestos"
"Manage Tax Rules","Gestionar reglas de impuestos"
"Name","Nombre"
"New Class","Nueva clase"
"New Rule","Nueva regla"
"New Tax Rate","Nueva tasa de impuesto"
"None","Ninguno"
"Priority","Prioridad"
"Product Tax Class Information","Información de la clase de impuesto al producto"
"Product Tax Classes","Impuestos al producto"
"Reset","Reiniciar"
"Row Total","Total de filas"
"Save Class","Guardar la clase"
"Save Rate","Guardar la tasa"
"Save Rule","Guardar la regla"
"Sort Order","Ordenar pedido"
"State","Estado"
"State/Region","Estado/Región"
"Tax","Impuestos"
"Tax Rate","Tasa del impuesto"
"Tax Rate Information","Información de la tasa del impuesto"
"Tax Rule Information","Información de la regla de impuesto"
"Tax Rules","Reglas de impuesto"
"This class no longer exists","Esta clase ya no existe"
"This rule no longer exists","Esta regla ya no existe"
"Unit Price","Precio unitario"
"Yes","Sí"
"You cannot delete this tax class as it is used for %d customer groups.","No puede borrar esta clase de impuesto, ya que se utiliza para %d grupos de clientes."
"You cannot delete this tax class as it is used for %d products.","No puede borrar esta clase de impuesto, ya que se utiliza para %d productos."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","No puede borrar esta clase de impuesto ya que se utiliza en las reglas de impuestos. Primero debe borrar las reglas en que se utiliza."
"Zip/Post Code","Código postal"
