"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Enlace</a>"
"Done","Hecho"
"ETA: %s","Tiempo estimado de llegada: %s"
"Less than a minute","Menos de un minuto"
"Memory Used: %s","Memoria utilizada: %s"
"Processed records: %s","Registros procesados: %s"
"Sheet 1","Hoja 1"
"Starting %s :: %s","Comenzando %s :: %s"
"Total records: %s","Registros totales: %s"
"hour","hora"
"hours","horas"
"minute","minuto"
"minutes","minutos"
