"Active","Activo"
"Add New Rule","Agregar una nueva regla"
"Apply","Aplicar"
"Apply To","Aplicar a"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar la regla s&oacute;lo si se dan las siguientes condiciones (dejar en blanco para todos los productos)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar la regla s&oacute;lo a los art&iacute;culos del carrito que cumplan las siguientes condiciones (dejar en blanco para todos los art&iacute;culos)"
"Apply the rule to cart items matching the following conditions","Aplicar la regla a los artículos del carrito que cumplan las siguientes condiciones"
"Buy X get Y free (discount amount is Y)","Compre X y consiga Y gratis (el importe del descuento es Y)"
"By Fixed value","Por valor fijo"
"By Percentage","Por porcentaje"
"Cart Attribute","Atributo del carrito"
"Catalog","Catálogo"
"Conditions","Condiciones"
"Conditions combination","Combinación de condiciones"
"Coupon Code","Código de cupón"
"Created On","Creado el"
"Customer Groups","Grupos de clientes"
"Date Expire","Fecha de caducidad"
"Date Start","Fecha de inicio"
"Description","Descripción"
"Discount Amount","Cantidad de descuento"
"Discount Qty Step (Buy X)","Paso de cantidad de descuento (compra X)"
"Edit Rule","Editar la regla"
"Edit Rule '%s'","Editar la regla '%s'"
"Fixed amount discount","Importe fijo del descuento"
"Fixed amount discount for whole cart","Importe fijo del descuento para todo el carrito"
"For matching items only","Sólo para los artículos que coinciden"
"For shipment with matching items","Para envíos con artículos que coinciden"
"From Date","Fecha desde"
"General Information","Información general"
"Inactive","Inactivo"
"NOT LOGGED IN","NO HA INICIADO SESION"
"New Rule","Nueva regla"
"Number of Uses","Número de usos"
"Payment Method","Método de pago"
"Percent of product price discount","Porcentaje de descuento del precio del producto"
"Period","Período"
"Price in cart","Precio en el carrito"
"Priority","Prioridad"
"Product attribute combination","Combinación de atributos del producto"
"Promotions","Promociones"
"Public In RSS Feed","Público en Feed RSS"
"Quantity in cart","Cantidad en el carrito"
"Row total in cart","Total de filas en el carrito"
"Rule Information","Información de la regla"
"Rule Name","Nombre de la regla"
"Shipping Country","País de envío"
"Shipping Method","Método de envío"
"Shipping Postcode","Código postal de envío"
"Shipping Region","Región de envío"
"Shipping State/Province","Estado/Provincia de envío"
"Shopping Cart Price Rule","Regla de precios del carrito de compras"
"Shopping Cart Price Rules","Reglas de precios del carrito de compras"
"Status","Estado"
"Subtotal Amount","Importe del subtotal"
"To Date","A la fecha"
"To Fixed Value","Para valor fijo"
"To Percentage","Para porcentaje"
"Total Amount","Importe total"
"Total Items Quantity","Cantidad de artículos totales"
"Total Weight","Peso total"
"Update prices using the following information","Actualizar precios usando la siguiente información"
"Update product's %s %s: %s","Actualizar productos %s %s: %s"
"Update the Product","Actualizar el producto"
"Website","Sitio web"
"Yes","Sí"
