"Action","Acción"
"Add New Block","Agregar un nuevo bloque"
"Add New Page","Agregar una nueva página"
"Block Information","Información del bloque"
"Block Title","Título del bloque"
"CMS Home Page","Página de inicio CMS"
"CMS No Route Page","Página de ""falta de ruta"" CMS"
"Custom Design","Diseño personalizado"
"Custom Theme","Tema personalizado"
"Customer Tax Class Information","Información de la clase de impuesto al cliente"
"Date Created","Fecha de creación"
"Delete Block","Borrar el bloque"
"Delete Page","Borrar la página"
"Description","Descripción"
"Design","Diseño"
"Disabled","Deshabilitado"
"Edit Block","Editar el bloque"
"Edit Block '%s'","Editar el bloque '%s'"
"Edit Page","Editar la página"
"Edit Page '%s'","Editar página '%s'"
"Enabled","Habilitado"
"General Information","Información general"
"Go to Home Page","Ir a la página de Inicio"
"Home","Inicio"
"Identifier","Identificador"
"Keywords","Palabras clave"
"Last Modified","Ultima modificación"
"Layout","Diseño"
"Layout Update XML","XML de actualización de Layout"
"Meta Data","Meta Datos"
"Meta Description","Meta Descripcción"
"Meta Keywords","Meta Palabras clave"
"New Block","Nuevo bloque"
"New Page","Nueva página"
"Page Information","Información de la página"
"Page Status","Estado de la página"
"Page Title","Título de la página"
"Product Tax Class Information","Información de la clase de impuesto al producto"
"Save Block","Guardar el bloque"
"Save Page","Guardar la página"
"Static Blocks","Bloques estáticos"
"Status","Estado"
"Store View","Vista de tienda"
"Template","Plantilla"
