"Alert Email Sender","Alerta de correo electrónico"
"Click here not to receive alerts for this product","Presione aqui para no recibir alertas para este producto"
"Error Email Recipient","Error en el destinatario del correo electrónico"
"Error Email Sender","Error en el remitente del correo electrónico"
"Error Email Template","Error en la plantilla del correo electrónico"
"Frequency","Frecuencia"
"Price:","Precio:"
"Product Alerts","Alertas del producto"
"Product Alerts Run Settings","Configuraciones de ejecución de alertas del producto"
"Product alerts Cron error","Error de Cron de las alertas del producto"
"Product price alert","Alerta de precio del producto"
"Product stock alert","Alerta de existencia del producto"
"Regular Price:","Precio regular:"
"Sign up for price alert","Regístrese para la alerta de precio"
"Sign up to get notified when this product is back in stock","Regístrese para ser notificado cuando este producto se encuentre de nuevo en existencia"
"Special price:","Precio especial:"
"Start Time","Hora de inicio"
"Unsubscribe from all price alerts","Desubscribirse de todas las alertas de precios"
"Unsubscribe from all stock alerts","Desubscribirse de todas las alertas de existencias"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Usted está recibiendo esta notificación porque se subscribió para recibir alertas cuando vuelva a haber existencia de los siguientes productos:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Usted está recibiendo esta notificación porque se subscribió para recibir alertas cuando cambien los precios de los siguientes productos:"
