"Continue &raquo;","Continuar &raquo;"
"Country","País"
"Country and Format Type combination should be unique","La combinación del país y el tipo de formato debe ser única"
"Currency","Moneda"
"Currency Options","Opciones de monedas"
"Currency Setup","Configuración de la moneda"
"Currency Update Warnings","Advertencias de la actualización de moneda"
"Enabled","Habilitado"
"Error Email Recipient","Error en el destinatario del correo electrónico"
"Error Email Sender","Error en el remitente del correo electrónico"
"Error Email Template","Error en la plantilla del correo electrónico"
"FATAL ERROR:","ERROR GRAVE:"
"Frequency","Frecuencia"
"Installed Currencies","Monedas instaladas"
"Invalid country code: %s","El código del país es inválido: %s"
"Invalid rates received","Se recibieron tasas inválidas"
"Scheduled Import Settings","Se han programado las configuraciones de importación"
"Select Your Currency","Seleccione su moneda"
"Service","Servicio"
"Start Time","Hora de inicio"
"State/Province","Estado/Provincia"
"WARNING:","ADVERTENCIA:"
"Your current currency is: %s","Su moneda actual es: %s"
