"Add Recipient","Agregar un recipiente"
"Allow for Guests","Permitir para Invitados"
"Back","Volver atrás"
"Email Address","Dirección de correo electrónico"
"Email Address:","Dirección de correo electrónico:"
"Email:","Correo electrónico:"
"Enabled","Habilitado"
"Limit Sending By","Limitar el envío por"
"Max Products Sent in 1 Hour","Máxima cantidad de productos enviados en 1 hora"
"Max Recipients","Máximos recipientes"
"Maximum %d email addresses allowed.","Máximo de %d direcciones de correo permitidas."
"Name","Nombre"
"Name:","Nombre:"
"Recipient:","Recipiente:"
"Remove Email","Quitar dirección de correo"
"Send product to a friend","Enviar un correo sobre este producto a un amigo"
"Sender:","Remitente:"
