"Action","Дзеянне"
"Add","Дадаць"
"All Tags","Усі Тагі"
"Are you sure you want to do this?","Вы ўпэўнены, что жадаеце зрабіць гэта?"
"Back","Назад"
"Block Information","Інфармацыя блока"
