"-- Please Select --","-- Каліласка выберыце --"
"Account Information","Інфармацыя аб акаўнце"
"Action","Дзеянне"
"Active","Актыўны"
"Add","Дадаць"
"Are you sure you want to do this?","Вы ўпэўнены, что жадаеце зрабіць гэта?"
"Back","Назад"
"Billing Address","Billing адрас"
"Cancel","Адмена"
"Close","Зачыніць"
"Comments History","Гісторыя камэнтарыяў"
"Complete","Завершана"
