"Action","Actie"
"Are you sure you want to delete the selected backup(s)?","Weet je zeker dat je de geselecteerde backup(s) wilt verwijderen?"
"Backups","Back-ups"
"Create Backup","Backup maken"
"Database Backup","Databasebackup"
"Database and Media","Database en media"
"Database and Media Backup","Database- en mediabackup"
"Download","Downloads"
"Enable Scheduled Backup","Geplande backup inschakelen"
"Frequency","Frequentie"
"Maintenance Mode","Onderhoudsmodus"
"Name","Naam"
"Rollback","Terugdraaien"
"Start Time","Begin Tijd"
"System","Systeem"
"System (excluding Media)","Systeem (exclusief media)"
"System Backup","Systeem-backup"
"Time","Tijd"
"Type","Soort"
