"-- Please Select --","-- Selecteer --"
"Add New Class","Nieuwe tariefgroep toevoegen"
"Add New Tax Rate","Nieuw BTW-tarief toevoegen"
"Add New Tax Rule","Nieuwe BTW-regel toevoegen"
"After Discount","Na korting"
"Apply Customer Tax","BTW in rekening brengen:"
"Apply Discount On Prices","Bereken de korting op de prijzen."
"Apply Tax On","Bereken BTW op"
"Are you sure you want to do this?","Weet je zeker dat je dit wilt doen?"
"Back","Terug"
"Before Discount","Voorafgaand aan korting"
"Calculation Settings","BTW berekeningsmethodiek"
"Catalog Prices","Catalogusprijzen"
"Code","Interne naam"
"Country","Land"
"Custom price if available","Aangepaste prijs als deze beschikbaar is"
"Customer Tax Class","BTW-tariefgroep klant"
"Customer Tax Classes","Klant BTW-tariefgroepen"
"Default Country","Standaard land"
"Default Post Code","Standaard postcode"
"Default State","Standaard provincie"
"Default Tax Destination Calculation","Land van herkomst"
"Delete Rate","Tarief verwijderen"
"Delete Rule","Regel verwijderen"
"Display Full Tax Summary","Volledig BTW-overzicht tonen"
"Display Prices","Prijzen tonen"
"Display Product Prices In Catalog","Productprijzen tonen in catalogus"
"Display Shipping Amount","Verzendkosten tonen"
"Display Shipping Prices","Transportkosten tonen"
"Display Subtotal","Subtotaal tonen"
"Display Zero Tax Subtotal","BTW van nul tonen in subtotaal"
"Edit Rule","Bewerk regel"
"Edit Tax Rate","Bewerk BTW-tarief"
"Enable Cross Border Trade","Grensoverschrijdend handelsverkeer toestaan"
"Excl. Tax","Excl. BTW"
"Excluding Tax","Exclusief BTW"
"Export Tax Rates","Exporteer BTW-tarieven"
"Grand Total (Excl. Tax)","Eindtotaal (excl. BTW)"
"Grand Total (Excl.Tax)","Eindtotaal (excl. BTW)"
"Grand Total (Incl. Tax)","Eindtotaal (incl. BTW)"
"Grand Total (Incl.Tax)","Eindtotaal (incl. BTW)"
"Grand Total Excl. Tax","Eindtotaal excl. BTW"
"Grand Total Incl. Tax","Eindtotaal incl. BTW"
"Import Tax Rates","BTW-tarieven Importeren"
"Inc. Tax","Incl. BTW"
"Incl. Tax","Incl. BTW"
"Including Tax","Inclusief BTW"
"Including and Excluding Tax","In- en exclusief BTW"
"Invalid file upload attempt","Poging Ongeldig bestand te uploaden"
"Manage Tax Rates","Beheer BTW-tarieven"
"Manage Tax Rules","Beheer BTW-regels"
"Name","Naam"
"New Rule","Nieuwe regel"
"New Tax Rate","Nieuw BTW-tarief"
"No","Nee"
"None","Geen"
"Orders, Invoices, Credit Memos Display Settings","Instellingen vertoning voor bestellingen, facturen, creditfacturen"
"Original price only","Alleen oorspronkelijke prijs"
"Price Display Settings","Prijsweergave instellingen"
"Priority","Prioriteit"
"Product Tax Class","BTW-tariefgroep product"
"Range From","Van"
"Range To","Tot"
"Range To should be equal or greater than Range From.","""Bereik tot"" moet gelijk zijn of groter dan ""Bereik van"""
"Rate","Ratio"
"Rate Percent","Percentage"
"Reset","Resetten"
"Row Total","Rijtotaal"
"Sales","Verkopen"
"Save Rate","Tarief opslaan"
"Save Rule","Regel opslaan"
"Save and Continue Edit","Toepassen"
"Shipping & Handling (Excl.Tax)","Verzend- en verwerkingskosten (excl. BTW)"
"Shipping & Handling (Incl.Tax)","Verzend- en verwerkingskosten (incl. BTW)"
"Shipping (Excl. Tax)","Verzendkosten (excl. BTW)"
"Shipping (Incl. Tax)","Verzendkosten (incl. BTW)"
"Shipping Prices","Verzendkosten"
"Shopping Cart Display Settings","Winkelwagen weergave instellingen"
"Sort Order","Sorteervolgorde"
"State","Provincie"
"State/Region","Provincie"
"Subtotal (Excl. Tax)","Subtotaal (excl. BTW)"
"Subtotal (Excl.Tax)","Subtotaal (Excl. BTW)"
"Subtotal (Incl. Tax)","Subtotaal (incl. BTW)"
"Subtotal (Incl.Tax)","Subtotaal (incl. BTW)"
"Tax","BTW"
"Tax Calculation Based On","BTW berekening op basis van"
"Tax Calculation Method Based On","BTW berekeningsmethodiek o.b.v"
"Tax Class for Shipping","BTW-tariefgroep voor verzending"
"Tax Classes","BTW-tariefgroepen"
"Tax Identifier","BTW-identifier"
"Tax Rate","BTW-tarief"
"Tax Rate Information","BTW-tariefgegevens"
"Tax Rule Information","BTW-regel Informatie"
"Tax Rules","Fiscale regels"
"Tax Section","BTW Sectie"
"Tax Titles","BTW titels"
"Tax rates at the same priority are added, others are compounded.","BTW-tarieven met dezelfde prioriteit worden opgeteld, andere worden gecombineerd."
"The tax rate has been imported.","Het BTW-percentage is geimporteerd"
"The tax rule has been deleted.","De BTW regel is verwijderd"
"This rule no longer exists.","Deze regel bestaat niet langer."
"Total","Totaal"
"Unit Price","Stukprijs"
"Yes","Ja"
"Zip/Post Code","Postcode"
"Zip/Post is Range","Postcodereeks"
