"(Excl. Tax)","(Excl. BTW)"
"(Incl. Tax)","(Incl. BTW)"
"* Required Fields","* Verplichte velden"
"Add New Address","Adres toevoegen"
"Add New Condition","Nieuwe voorwaarde toevoegen"
"Add to Cart","In Winkelwagen"
"Add to Compare","Toevoegen om te vergelijken"
"Add to Wishlist","Toevoegen aan verlanglijst"
"Address","Adres"
"After Adding a Product Redirect to Shopping Cart","Winkelmandje tonen na toevoegen van een product"
"Allow Guest Checkout","Afrekenen als gast toestaan"
"Apply","Toepassen"
"Apply Coupon","Pas kortingscode Toe"
"Are you sure you would like to remove this item from the shopping cart?","Weet je zeker dat je dit product wilt verwijderen uit de winkelwagen?"
"Back","Terug"
"Back to Billing Information","Terug naar factuurinformatie"
"Back to Select Addresses","Terug naar adressen selecteren"
"Back to Shipping Information","Terug naar verzendinformatie"
"Back to Shopping Cart","Terug naar winkelwagen"
"Billing Address","Factuuradres"
"Billing Information","Factuurinformatie"
"Cancel","Annuleer"
"Cancel Coupon","Kortingscode annuleren"
"Cannot process the item.","Kan het item niet verwerken."
"Card Verification Number Visual Reference","Visuele referentie Kaartverificatienummer"
"Change","Verander"
"Change Billing Address","Verander Factuuradres"
"Checkbox Text","Tekst checkbox"
"Checkout","Afrekenen"
"Checkout Conditions","Betalingsvoorwaarden"
"Checkout Options","Betaalopties"
"Checkout Terms and Conditions","Algemene Voorwaarden Afrekenen"
"City","Plaatsnaam"
"Clear Shopping Cart","Leeg winkelwagen"
"Close","Sluiten"
"Company","Bedrijf"
"Condition Name","Naam van voorwaarde"
"Configurable Product Image","Afbeelding configureerbaar product"
"Confirm Password","Bevestig wachtwoord"
"Content","inhoud"
"Content Height","Hoogte inhoud"
"Content Height (css)","Hoogte inhoud (css)"
"Continue","Doorgaan"
"Continue Shopping","Ga verder met winkelen"
"Continue to Billing Information","Ga verder naar factuurinformatie"
"Country","Land"
"Create Billing Address","Factuuradres aanmaken"
"Create Shipping Address","Afleveradres aanmaken"
