"-- Please select --","-- Selecteer --"
"API Key","API-sleutel"
"Allowed Currencies","Toegestane valuta"
"An invalid base currency has been entered.","Een ongeldige basisvaluta is ingevoerd."
"Base Currency","Basis-valuta"
"Connection Timeout in Seconds","Connectie timeout in seconden"
"Country","Land"
"Country and Format Type combination should be unique","Combinatie van land en formaattype moet uniek zijn"
"Currency","Valuta"
"Currency Options","Valuta-opties"
"Currency Setup","Valuta-instellingen"
"Currency Update Warnings","Waarschuwingen valuta-update"
"Currency rates can't be retrieved.","Wisselkoersen kunnen niet worden opgehaald."
"Default Display Currency","Standaard-weergave valuta"
"Enabled","Ingeschakeld"
"Error Email Recipient","E-mailadres ontvanger van foutmelding"
"Error Email Sender","Afzender Foutmelding Email"
"Error Email Template","Foutmelding Email Template"
"FATAL ERROR:","FATALE FOUT:"
"Frequency","Frequentie"
"Installed Currencies","Geinstalleerde valuta"
"No API Key was specified or an invalid API Key was specified.","Geen API-sleutel is opgegeven of een ongeldige API-sleutel is opgegeven."
"Scheduled Import Settings","Instellingen geplande import"
"Start Time","Begin Tijd"
"State/Province","Staat/Provincie"
"The account this API request is coming from is inactive.","Het account waar deze API-aanvraag vandaan komt, is inactief."
"WARNING:","WAARSCHUWING:"
