"* Required Fields","* Verplichte velden"
"-- Please Select --","-- Selecteer --"
"A group with the same name already exists.","Een groep met dezelfde naam bestaat reeks"
"A product type is not defined for the indexer.","Een producttype is niet opgegeven"
"ALL GROUPS","ALLE GROEPEN"
"Action","Actie"
"Actual Price","Werkelijke prijs"
"Add","Toevoegen"
"Add Attribute","Attribuut toevoegen"
"Add Design Change","Design-wijziging toevoegen"
"Add Group","Groep toevoegen"
"Add New","Voeg nieuwe toe"
"Add New Attribute","Voeg nieuw attribuut toe"
"Add New Attribute Set","Nieuwe attributenset toevoegen"
"Add New Group","Nieuwe groep toevoegen"
"Add New Images","Nieuwe afbeeldingen toevoegen"
"Add New Option","Optie toevoegen"
"Add New Row","Nieuwe rij toevoegen"
"Add New Search Term","Voeg nieuwe zoekterm toe"
"Add Product","Product toevoegen"
"Add Product To Websites","Product aan websites toevoegen"
"Add Root Category","Hoofd-categorie toevoegen"
"Add Subcategory","Subcategorie toevoegen"
"Add Tax","BTW toevoegen"
"Add to Cart","In Winkelwagen"
"Add to Compare","Toevoegen om te vergelijken"
"Add to Wishlist","Toevoegen aan verlanglijst"
"All","Alle"
"All Product Types","Alle product types"
"All Websites","Alle Websites"
"All products","Alle producten"
"All products - recently added products, New products - products marked as new","Alle producten - recent toegevoegde producten, Nieuwe producten - producten gemarkeerd als nieuw"
"Allow All Products per Page","Alle producten per pagina toestaan"
"Amount","Aantal"
"Anchor Custom Text","Zet eigen tekst vast"
"Anchor Custom Title","Zet eigen titel vast"
"Apply To","Pas Toe Op"
"Approved","Akkoord"
"Are you sure you want to delete this category?","Weet je zeker dat je deze categorie wilt verwijderen?"
"Are you sure?","Weet je het zeker?"
"Assign","Toewijzen"
"Associated Products","Gerelateerde producten"
"Attribute Information","Attribuutinformatie"
"Attribute Model","Attribuutmodel"
"Attribute Set","Attributenset"
"Attribute Sets","Attribuut-sets"
"Attributes","Attributen"
"Availability:","Beschikbaarheid:"
"Back","Terug"
"Backend Model","Backend-model"
"Backorders","Nabestellingen"
"Based On","Gebaseerd Op"
"Before Order Confirmation","Voorafgaand aan orderbevestiging"
"Block after Info Column","Blok na info-kolom"
"Bottom/Left","Onder/links"
"Bottom/Right","Onder/rechts"
"Bundle Items","Bundel-artikelen"
"Cache Lifetime (Seconds)","Cache Lifetime (in seconden)"
"Cancel","Annuleer"
"Cart Item Attribute","Attribuut winkelwagen-artikel"
"Catalog","Catalogus"
"Catalog Category Link","Catalogus Categorie Link"
"Catalog New Products List","Catalogus Nieuwe Producten Lijst"
"Catalog Price Scope","Scope catalogusprijs"
"Catalog Product Link","Catalogus Producten Link"
"Catalog Section","Catalogus sectie"
"Catalog, Search","Catalogus, zoeken"
"Categories","Categorieën"
"Category","Categorie"
"Category Flat Data","Categorieën Flat Data"
"Category Link Block Template","Categorieën-link block-sjabloon"
"Category Link Inline Template","Categorieën-link inline-sjabloon"
"Category Products","Categorie producten"
"Category Top Navigation","Categorie topnavigatie"
"Category URL Suffix","Categorie URL achtervoegsel"
"Center","Centreer"
"Change","Verander"
"Change status","Verander status"
"Check items to add to the cart or","Selecteer items om ze aan het mandje toe te voegen of"
"Choose an Option...","Kies een optie..."
"Clear All","Alles wissen"
"Clear Price","Prijs verwijderen"
"Click for price","Klik voor de prijs"
"Close Window","sluit venster"
"Collapse All","Alles inklappen"
"Comma-separated.","gescheiden door een komma"
"Comparable","Vergelijkbaar"
"Compare","Vergelijken"
"Compare Products","Producten vergelijken"
"Conditions Combination","Voorwaardencombinatie"
"Configure Product","Configureer product"
"Continue","Doorgaan"
"Country/State","Land/Provincie"
"Create","Creëren"
"Create Permanent Redirect for URLs if URL Key Changed","Maak een permanente URL-verwijzing aan voor URLs als de URL-key veranderd"
"Create Permanent Redirect for old URL","Maak een permanente doorverwijzing voor de oude URL"
"Cross-sells","Kruis-verkopen"
"Custom Design","Eigen ontwerp"
"Custom Options","Eigen opties"
"Customer Group","Klantengroep"
"Customers Reviews","Klanten-reviews"
"Data Type for Saving in Database","Datatype voor opslaan in database"
"Date & Time Custom Options","Datum & Tijd klantopties"
"Date Fields Order","Veld volgorde"
"Datetime","Datum / tijd"
"Decimal","Decimaal"
"Default ""What's This"" Text Message","Standaard ""Wat is dit?"" bericht"
"Default Popup Text Message","Standaard popup bericht"
"Default Price","Standaard-prijs"
"Default Price Navigation Step","Stappen (10/20/30/ etc...)"
"Default Qty","Standaard-aantal"
"Default Values","standaardwaarden"
"Delete","Verwijder"
"Delete Attribute","Verwijder attribuut"
"Delete Option","Verwijder optie"
"Delete Row","Rij verwijderen"
"Delete Search","Zoekactie verwijderen"
"Delete Selected Group","Geselecteerde groep verwijderen"
"Delete Tier","Verwijder staffel"
"Description","Omschrijving"
"Design","Ontwerp"
"Details","Gegevens"
"Disabled","Uitgeschakeld"
"Display Actual Price","Toon werkelijke prijs"
"Display Page Control","Toon paginering"
"Display Price Interval as One Price","Toon prijs-stap als één prijs"
"Display Product Count","Toon aantal producten"
"Display Type","Weergave modus"
"Display in Suggested Terms","Voorgestelde termen weergeven"
"Downloadable Information","Downloadbare informatie"
"Duplicate","Dupliceren"
"Duplicate amount found.","Duplicaat bedrag gevonden"
"Edit","Bewerken"
"Edit Product Attribute","Productattribuut wijzigen"
"Edit Search","Zoekactie wijzigen"
"Email","E-mail"
"Email to a Friend","E-mail naar een vriend"
"Empty","Leeg"
"Enable MAP","MAP (minimaal geadverteerde prijs) inschakelen"
"Enable Qty Increments","Activeer opklimmende aantallen"
"Enabled","Ingeschakeld"
"Exclude","Sluit uit"
"Expand All","Alles uitklappen"
"Failed","Mislukt"
"Filter","Filteren"
"Filterable (no results)","Filterbaar (geen resultaten)"
"Filterable (with results)","Filterbaar (met resultaten)"
"First Name","Voornaam"
"Fixed","Vast"
"For the last time placed.","Voor de laatste keer geplaatst."
"Frontend Model","Frontend model"
"Gallery","Gallerij"
"General Information","Algemene informatie"
"Global","Systeem"
"Globally Editable","Systeembreed bewerkbaar"
"Go to Home Page","Ga naar homepagina"
"Grid","Foto-tabel"
"Groups","Groepen"
"Image","Beeld"
"In Cart","In winkelwagen"
"In Stock","Op voorraad"
"In stock","Op voorraad"
"Incl. Tax","Incl. BTW"
"Index product prices","Productprijzen"
"Indexed category/products association","Categorieën/product-koppeling"
"Input Type","Invoertype"
"Interval Division Limit","Interval deellimiet"
"Inventory","Assortimentsbeheer"
"Is Default","Is standaard"
"Is Required","Is Vereist"
"Label","label"
"Last Name","Achternaam"
"Layered Navigation","Gelaagde navigatie"
"Learn More","Lees verder"
"Link to a Specified Category","Link naar een Gespecificeerde Categorie."
"Link to a Specified Product","Link naar een Gespecificeerd Product"
"List","Lijst"
"List Mode","Lijstweergave"
"List of Products that are set as New","Producten Lijst met nieuwe producten"
"Manage Attribute Sets","Beheer attributensets"
"Manage Catalog Categories","Beheer catalogus-categorieën"
"Manage Categories","Beheer categorieën"
"Manage Label / Options","Beheer Label/Opties"
"Manage Product Attributes","Beheer productattributen"
"Manage Product Sets","Beheer productensets"
"Manage Stock","Voorraad beheren"
"Manage Titles (Size, Color, etc.)","Beheer titels (grootte, kleur, etc)"
"Max Characters","Max tekens"
"Maximal Depth","Maximale Diepte"
"Maximum Image Size","Maximum grootte afbeelding"
"Maximum Number of Price Intervals","Maximaal aantal prijsintervallen"
"Maximum Qty Allowed in Shopping Cart","Maximaal aantal in winkelwagen"
"Maximum image height","Maximum hoogte afbeelding"
"Maximum image width","Maximum breedte afbeelding"
"Maximum number of characters:","Maximale aantal karakters:"
"Maximum number of price intervals is 100","Maximaal aantal prijsintervallen is 100"
"Media Image","Media-afbeelding"
"Minimum Advertised Price","Minimum geadverteerde verkoopprijs"
"Minimum Qty Allowed in Shopping Cart","Minimaal aantal  in winkelwagen"
"Move","Verplaats"
"My Account","Account"
"N/A","n.v.t."
"Name","Naam"
"New Product","Nieuw product"
"New Product Attribute","Nieuw product-attribuut"
"New Products","Nieuwe producten"
"New Products Grid Template","Nieuwe producten tabel-sjabloon"
"New Products List Template","Nieuwe producten lijst-sjabloon"
"New Search","Nieuwe zoekactie"
"New Set Name","Nieuwe set-naam"
"New products","Nieuwe prodcuten"
"Next","Volgende"
"No","Nee"
"No image","Geen afbeelding"
"No layout updates","Geen lay-out-updates"
"No options of this product are available.","Er zijn geen opties voor dit product beschikbaar"
"None","Geen"
"Not Visible Individually","Niet individueel zichtbaar"
"Notify Low Stock RSS","RSS voor melding weinig voorraad"
"Notify for Quantity Below","Melden bij Aantal lager dan"
"Number of Products per Page","Aantal producten per pagina"
"Number of Products to Display","Aantal producten op de display"
"Number of Uses","Aantal keer gebruikt"
"Number of results","Aantal resultaten"
"Number of results (For the last time placed)","Aantal resultaten (voor de laatste keer geplaatst)"
"OK","Oké"
"On Gesture","Op gebaar"
"Options","Opties"
"Out of Stock","Niet op voorraad"
"Out of stock","Niet op voorraad"
"Page Title Separator","Scheidingsteken paginatitel"
"Parent Category","Hogere categorie"
"Pending","In afwachting"
"Pending Reviews RSS","RSS van wachtende reviews"
"Please add rows to option.","Voeg rijen toe aan optie."
"Please specify date required option(s).","Geef de verplichte datumoptie(s) op."
"Please specify the number of products, that will not be divided into subintervals.","Geef het aantal producten op, welke niet in deelintervallen verdeeld zullen worden."
"Please specify the quantity of product(s).","Specificeer het aantal producten a.j.b."
"Please specify time required option(s).","Geef de verplichte tijdoptie(s) op."
"Please wait...","Even geduld..."
"Position","Positie"
"Position in Layered Navigation","Positie in gelaagde navigatie"
"Prev","Vorige"
"Previous","Vorige"
"Price","prijs"
"Price Navigation Step Calculation","Prijsweergave (stappen)"
"Price Type","Prijstype"
"Price:","Prijs:"
"Print This Page","Print deze pagina"
"Product Alerts","Product-notificaties"
"Product Attribute","Product-attribuut"
"Product Attributes","Productkenmerken"
"Product Categories","Productcategorieën"
"Product Flat Data","Product platte data"
"Product Image Placeholders","Placeholder voor productafbeelding"
"Product Image Watermarks","Watermerken voor productafbeelding"
"Product In Websites","Product in websites"
"Product Info Column","Kolom productgegevens"
"Product Link Block Template","Product-link block-sjabloon"
"Product Link Inline Template","Product-link inline-sjabloon"
