"Catalog","Catalogus"
"Click for price","Klik voor de prijs"
"Coupons/Discounts","Kortingsbonnen/kortingen"
"Customer Order Status Notification","Melding bestelstatus van klant"
"Discount","Korting"
"Enable RSS","RSS inschakelen"
"From:","Van:"
"Get Feed","Feed opvragen"
"Gift Message","Cadeau-bericht"
"Grand Total","Eindtotaal"
"Low Stock Products","Producten met weinig voorraad"
"Message:","Bericht:"
"Miscellaneous Feeds","Diverse Feeds"
"New Orders","Nieuwe bestellingen"
"New Products","Nieuwe producten"
"Order","Bestelling"
"Pending product review(s)","Te beoordelen productreview(s)"
"RSS Feeds","RSS feeds"
"RSS Feeds Section","RSS Feeds Sectie"
"Rss Config","RSS configuratie"
"Shipping &amp; Handling","Aflevering &amp; Verwerking"
"Special Products","Speciale producten"
"Subtotal","Subtotaal"
"Tax","BTW"
"To:","Tot:"
"Top Level Category","Top level categorie"
"Wishlist","Verlanglijst"
