"Notifications","Taarifa"
"Please select messages.","Tafadhali teua ujumbe."
"The message has been removed.","Ujumbe umeondolewa."
"Wrong message type","Aina ya ujumbe usio sahihi"
"critical","muhimu"
"major","kubwa"
"minor","madogo"
"notice","ilani"
