"(\t for tab)","(t for tab)"
"1 Hour","Saa 1"
"12 Hours","Masaa 12"
"2 Hours","Masaa 2"
"24 Hours","Masaa 24"
"6 Hours","Masaa 6"
"All","Zote"
"Custom","Maalum"
"Incoming Message","Ujumbe unaoingia"
"None","Hakuna"
"Notifications","Taarifa"
"close","funga"
"critical","muhimu"
"major","kubwa"
"minor","madogo"
"notice","ilani"
