"-- Please Select --","--الرجاء الاختيار-"
"Add to Cart","أضف لسلة التسوق"
"Choose an Option...","اختار خيار..."
"Enabled","تفعيل"
"General Settings","إعدادات عامة"
"Height","الارتفاع"
"In Stock","متوفر في المخزن"
"Out of Stock","غير متوفر بالمخزن"
"Previous","السابق"
"Remove This Item","حذف هذا العنصر"
"Width","العرض"
