"-- Please Select --","--الرجاء الاختيار-"
"2 columns with left bar","2 عمود مع الشريط الأيسر"
"2 columns with right bar","2 عمود مع الشريط الأيمن"
"3 columns","3 أعمدة"
"About the calendar","حول التقويم"
"Account","الحساب"
"All Pages","كل الصّفحات"
"Allow","سماح"
"Close","إغلاق"
"Close Window","أغلق النافذه"
"Default welcome msg!","رسالة الترحيب الافتراضية!"
"Empty","فارغ"
"Go Today","الذهاب اليوم"
"Left Column","العمود الأيسر"
"Menu","القائمة"
"Next","التالي"
"Page:","صفحة:"
"Previous","السابق"
"Report All Bugs","أبلغ عن كل الثغرات"
"Right Column","العمود الأيمن"
"Search","بحث"
"Select Store","تحديد مخزن"
"Show","عرض"
"View All","عرض الكل"
"Your Language","لغتك"
"Your Language:","لغتك:"
"per page","بالصفحة"
