"API Login ID","API اسم المستخدم"
"Accepted Currency","العملات المقبولة"
"Authorize Only","المصرح فقط"
"Authorize and Capture","التحقق و القبض"
"Cancel","إلغاء"
"Credit Card Types","أنواع بطاقة الائتمان"
"Credit Card Verification","التحقق من البطاقة الائتمانية"
"Debug","نقح"
"Email Customer","البريد الإلكتروني للعميل"
"Enabled","تفعيل"
"Invalid amount for capture.","المبلغ غير صالح للقبض."
"Invalid amount for refund.","المبلغ غير قابل لاسترداده."
"Maximum Order Total","إجمالي الحد الأعلى للطلب"
"Merchant's Email","البريد الإلكتروني للتاجر"
"Minimum Order Total","إجمالي الحد الأدنى للطلب"
"New Order Status","حالة طلب جديدة"
"Payment Action","فعل الدفع"
"Payment capturing error.","خطأ في قبض الدفعة."
"Payment from Applicable Countries","الدفع من البلدان المطبقة"
"Payment from Specific Countries","الدفع من بلدان معينة"
"Payment refunding error.","خطأ في استرداد المبلغ."
"Payment voiding error.","خطأ في الغاء الدفعة."
"Sort Order","الترتيب"
"Test Mode","وضع الاختبار"
"Title","العنوان"
"Transaction Key","مفتاح عملية الدفع"
"authorize","التصريح"
"authorize and capture","التحقق و القبض"
"capture","التقاط"
"failed","فشل"
"refund","اعادة المبلغ المدفوع"
"successful","تم بنجاح"
"void","الفراغ"
