"-- Please Select --","--الرجاء الاختيار-"
"Attribute Code","رمز السمة"
"Attribute Label","علامة السمة"
"CSV","CSV ملف"
"Check Data","التحقق من صحة البيانات"
"Customers","العملاء"
"Entity Type","نوع الكيان"
"Export","استخراج"
"Export File Format","تنسيق ملف التصدير"
"Export Settings","إعدادات التصدير"
"Filter","تصفية"
"From","من"
"Import","استيراد"
"Import Behavior","سلوك الاستيراد"
"Import Settings","استيراد الإعدادات"
"Import/Export","استيراد/تصدير"
"Products","المنتجات"
"Status","الحاله"
"There are no product types available for export","لا تتوفر أي من أنواع المنتجات للتصدير"
"To","إلى"
